relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
132688@33_5-132688@33_3,132688@33,Bush-McCain,,1,"{A,photo,of,McCain,and,Bush,embracing,fills,the,screen,.}",5,1,3,1,1,"{INV_LEMMA_SEQ_[and],INV_WORD_SEQ_[and],""INV_NER_L_2_R_2_[O O]_[O O]"",INV_POS_SEQ_[CC],""INV_NER_L_3_R_3_[O O O]_[O O O]"",""INV_NER_L_1_R_2_[O]_[O O]""}","{1.30862,1.30862,-1.13902,0.788145,0.749234,-0.647165}"
108795@3_12-108795@3_6,108795@3,Tracy Wright-Don McKellar,t,0.998,"{We,'re,introduced,to,Dan,-LRB-,Don,McKellar,-RRB-,and,Linda,-LRB-,Tracy,Wright,-RRB-,"","",aging,Vancouver,radicals,who,'ve,traded,in,their,fire-bombing,past,for,lazier,ways,of,fighting,the,Man,:,They,spend,their,days,dumpster,-,diving,and,raiding,yard,sales,"","",selling,their,finds,on,eBay,as,a,way,of,recycling,the,consumer,culture,'s,castoffs,.}",12,2,6,2,2,"{INV_LENGTHS_[12_12],""INV_NER_L_1_R_2_[O]_[O O]"",""INV_BETW_L_[appos appos]"",""INV_NER_L_3_R_3_[O PERSON O]_[O O O]"",""INV_NER_L_3_R_1_[O PERSON O]_[O]"",""INV_NER_L_3_R_2_[O PERSON O]_[O O]""}","{0.888711,-0.647165,0.635681,0.598083,-0.55641,0.501294}"
1938@37_16-1938@37_9,1938@37,Emily Watson-Ewan McGregor,,1,"{Cast,:,Renee,Zellweger,-LRB-,Beatrix,Potter,-RRB-,"","",Ewan,McGregor,-LRB-,Norman,Warne,-RRB-,"","",Emily,Watson,-LRB-,Millie,Warne,-RRB-,"","",Barbara,Flynn,-LRB-,Mrs.,Potter,-RRB-,"","",Bill,Paterson,-LRB-,Rupert,Potter,-RRB-,"","",Matyelok,Gibbs,-LRB-,Miss,Wiggin,-RRB-,"","",Lloyd,Owen,-LRB-,William,Heelis,-RRB-,"","",Anton,Lesser,-LRB-,Harold,Warne,-RRB-,and,David,Bamber,-LRB-,Fruing,Warne,-RRB-,.}",16,2,9,2,2,"{INV_LENGTHS_[12_13],""INV_BETW_L_[conj_and conj_and]"",""INV_NGRAM_1_[,]"",""INV_NER_L_1_R_3_[O]_[O PERSON PERSON]"",""INV_NER_L_3_R_2_[PERSON O O]_[O PERSON]"",INV_NGRAM_1_[-lrb-]}","{1.15611,1.13144,-0.683653,0.649209,0.556104,0.445222}"
54841@31_5-54841@31_3,54841@31,Jelaidan-Kadi,,1,"{The,accounts,of,Kadi,and,Jelaidan,are,active,only,to,the,extent,that,investment,payouts,are,recorded,and,fees,are,paid,to,Faisal,"","",he,said,.}",5,1,3,1,1,"{INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],""INV_NER_L_2_R_2_[O O]_[O O]"",INV_POS_SEQ_[CC],""INV_NER_L_3_R_3_[O O O]_[O O O]"",""INV_NER_L_1_R_2_[O]_[O O]""}","{1.30862,1.30862,-1.13902,0.788145,0.749234,-0.647165}"
153946@38_92-153946@38_81,153946@38,Ora Jones-Bianca LaVerne Jones,,1,"{WITH,:,Guy,Adkins,-LRB-,John,Wilkes,Booth,"","",Robert,E.,Lee,"","",William,Tecumseh,Sherman,-RRB-,"","",Justin,Blanchard,-LRB-,Chester,"","",Manton,Saunders,"","",Hay,"","",John,Surratt,-RRB-,"","",Susannah,Flood,-LRB-,Raz,"","",Anna,Surratt,-RRB-,"","",J.D.,Goldblatt,-LRB-,Ely,Parker,"","",Silver,"","",Frederick,Wormley,"","",Moses,Levy,-RRB-,"","",Brian,Tyree,Henry,-LRB-,Willy,Mack,"","",Walker,Lewis,"","",Jim,Wormley,-RRB-,"","",Marc,Damon,Johnson,-LRB-,Decatur,Bronson,"","",James,Wormley,-RRB-,"","",Bianca,LaVerne,Jones,-LRB-,Hannah,"","",Rose,"","",Aggy,-RRB-,"","",Ora,Jones,-LRB-,Elizabeth,Keckley,"","",Mrs.,Thomas,-RRB-,"","",Drew,McVety,-LRB-,Henry,Wadsworth,Longfellow,"","",Ulysses,S.,Grant,"","",Ward,Hill,Lamon,-RRB-,"","",Jay,Russell,-LRB-,Abraham,Lincoln,"","",Walt,Whitman,-RRB-,"","",Rachel,Shapiro,Alderman,-LRB-,Nicolay,"","",Mary,Surratt,"","",Clara,Barton,"","",Widow,Saunders,-RRB-,"","",Diane,Sutherland,-LRB-,Mary,Todd,Lincoln,"","",Secretary,of,War,Stanton,-RRB-,"","",Scott,Thomas,-LRB-,Lewis,Payne,"","",Mosby,Raider,-RRB-,"","",Faith,Philpot,and,Malenky,Welsh,-LRB-,Jessa,"","",Little,Joe,-RRB-,.}",92,2,81,3,3,"{""INV_NGRAM_1_[,]"",""INV_NER_L_1_R_3_[O]_[O PERSON PERSON]"",""INV_NER_L_3_R_2_[PERSON O O]_[O PERSON]"",INV_NGRAM_1_[-lrb-],""INV_NER_L_3_R_3_[PERSON O O]_[O PERSON PERSON]"",INV_NER_L_1_R_1_[O]_[O]}","{-0.683653,0.649209,0.556104,0.445222,0.421771,0.326221}"
59970@28_47-59970@28_22,59970@28,Will Smith-Morgan Freeman,,0.994,"{Obama,has,shown,surprising,strength,on,that,front,"","",receiving,the,maximum,$,""2,300"",in,primary,contributions,from,actors,Tom,Hanks,"","",Morgan,Freeman,"","",Samuel,L.,Jackson,"","",Halle,Berry,"","",Eddie,Murphy,"","",Gene,Wilder,"","",Leonard,Nimoy,"","",Rosanna,Arquette,"","",Chris,Rock,"","",Will,Smith,"","",George,Clooney,and,Jennifer,Aniston,.}",47,2,22,2,2,"{INV_LENGTHS_[10_14],""INV_BETW_L_[conj_and conj_and]"",""INV_NGRAM_1_[,]"",""INV_NER_L_1_R_3_[O]_[O PERSON PERSON]"",""INV_NER_L_2_R_1_[PERSON O]_[O]"",""INV_LEMMA_L_1_R_1_[,]_[,]""}","{1.27496,1.13144,-0.683653,0.649209,-0.471823,0.431208}"
34215@40_83-34215@40_56,34215@40,Jerome Kern-George Gershwin,,1,"{PRODUCTION,NOTES,`,STAIRWAY,TO,PARADISE,:,50,Years,of,Revue,in,Review,',Music,"","",lyrics,and,sketches,by,Nora,Bayes,"","",Irving,Berlin,"","",Eubie,Blake,"","",Henry,Blossom,"","",Elisse,Boyd,"","",Bob,Cole,"","",Betty,Comden,"","",B.G.,DeSylva,"","",Howard,Dietz,"","",Jimmy,Durante,"","",Leo,Edwards,"","",Dorothy,Fields,"","",George,Gershwin,"","",Ira,Gershwin,"","",Jay,Gorney,"","",Murray,Grand,"","",Adolph,Green,"","",E.Y.,Harburg,"","",Lorenz,Hart,"","",Victor,Herbert,"","",J.W.,Johnson,"","",Jerome,Kern,"","",Jean,Kerr,"","",Walter,Kerr,"","",Duke,Leonard,"","",Jimmy,McHugh,"","",Blanche,Merrill,"","",Ed,G.,Nelson,"","",Jack,Norworth,"","",Harry,Pease,"","",Andy,Razaf,"","",Richard,Rodgers,"","",Harold,Rome,"","",Arthur,Schwartz,"","",Paul,Gerard,Smith,"","",Jule,Styne,and,P.G.,Wodehouse,;,directed,by,Jerry,Zaks,;,guest,music,director,"","",vocal,and,dance,arranger,"","",Rob,Berman,;,conceived,by,Jack,Viertel,;,set,consultation,by,John,Lee,Beatty,;,sound,by,Tom,Morse,;,costume,consultation,by,William,Ivey,Long,;,lighting,by,Paul,Gallo,;,orchestrations,"","",Jonathan,Tunick,;,music,coordinator,"","",Seymour,Red,Press,;,company,manager,"","",Michael,Zande,;,production,stage,manager,"","",Rolt,Smith,;,choreography,by,Warren,Carlyle,.}",83,2,56,2,2,"{""INV_NGRAM_1_[,]"",INV_LENGTHS_[11_15],""INV_NER_L_1_R_3_[O]_[O PERSON PERSON]"",""INV_LEMMA_L_2_R_1_[Fields ,]_[,]"",""INV_LEMMA_L_3_R_1_[Dorothy Fields ,]_[,]"",""INV_NER_L_2_R_1_[PERSON O]_[O]""}","{-0.683653,0.668197,0.649209,-0.563755,-0.563755,-0.471823}"
122380@9_39-122380@9_42,122380@9,Jim Thorpe-Walter Payton,,0.96,"{The,Globe,sought,documents,on,a,number,of,deceased,New,England,sports,figures,after,it,became,clear,from,previously,released,material,that,the,FBI,had,archived,information,on,more,than,two,dozen,famous,athletes,"","",from,Jesse,Owens,and,Jim,Thorpe,to,Walter,Payton,and,Arthur,Ashe,.}",39,2,42,2,2,"{NER_SEQ_[O],""NER_L_3_R_1_[PERSON PERSON O]_[O]"",""NER_L_3_R_2_[PERSON PERSON O]_[O PERSON]"",STARTS_WITH_CAPITAL_[True_True],""NER_L_2_R_2_[PERSON O]_[O PERSON]"",""NER_L_1_R_3_[O]_[O PERSON PERSON]""}","{1.01733,0.682827,-0.348342,0.28568,-0.285438,-0.273356}"
14857@33_17-14857@33_19,14857@33,Lerman-Robin Sparrow,,0.94,"{WITH,:,Jim,Carrey,-LRB-,Walter,Sparrow/Fingerling,-RRB-,"","",Virginia,Madsen,-LRB-,Agatha,Sparrow/Fabrizia,-RRB-,"","",Logan,Lerman,-LRB-,Robin,Sparrow,-RRB-,"","",Danny,Huston,-LRB-,Isaac,French/Dr,.}",17,1,19,2,2,"{NGRAM_1_[-lrb-],NER_SEQ_[O],BETW_L_[appos],BETW_D_[appos],BETW_[appos],STARTS_WITH_CAPITAL_[True_True]}","{1.27618,1.01733,-0.464195,-0.464195,-0.464195,0.28568}"
1938@1_19-1938@1_16,1938@1,Mary Poppins-Julie Andrews,,0.972,"{This,British,author,and,illustrator,"","",as,portrayed,by,Zellweger,"","",is,almost,as,chipper,as,Julie,Andrews,',Mary,Poppins,"","",but,twice,as,affected,and,not,half,as,English-sounding,.}",19,2,16,2,2,"{INV_LENGTHS_[12_13],""INV_NER_L_2_R_2_[O O]_[O O]"",""INV_NER_L_3_R_3_[O O O]_[O O O]"",""INV_NER_L_1_R_2_[O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",""INV_LEMMA_L_1_R_1_[as]_[,]""}","{1.15611,-1.13902,0.749234,-0.647165,0.553628,0.50867}"
71720@4_20-71720@4_28,71720@4,Boyd-George Harrison,,0.998,"{Although,the,basic,facts,of,the,coupling,of,guitar,god,Eric,Clapton,and,former,model,Pattie,Boyd,are,well-known,-,Boyd,was,married,to,Clapton,'s,good,friend,George,Harrison,"","",but,Clapton,pursued,and,eventually,got,her,"","",only,to,have,it,fall,apart,-,the,details,are,teased,out,in,the,pair,'s,new,autobiographies,.}",20,1,28,2,2,"{NGRAM_1_[marry],""NGRAM_2_[marry to]"",""NER_L_2_R_2_[O O]_[O O]"",""NGRAM_3_[be marry to]"",""NGRAM_2_[be marry]"",NGRAM_1_[be]}","{1.99972,1.33721,-0.889613,0.649459,0.649459,-0.583433}"
72549@33_98-72549@33_46,72549@33,John Turturro-Camryn Manheim,,0.99,"{WITH,:,Anthony,Hopkins,-LRB-,Felix,Bonhoeffer,-RRB-,"","",Stella,Arroyave,-LRB-,Gina,-RRB-,"","",Gavin,Grazer,-LRB-,Gavin/Paramedic,-RRB-,"","",Lisa,Pepper,-LRB-,Tracy,-RRB-,"","",Christian,Slater,-LRB-,Ray,-RRB-,"","",Kevin,McCarthy,-LRB-,himself,-RRB-,"","",Fionnula,Flanagan,-LRB-,Bette,Lustig,-RRB-,"","",Camryn,Manheim,-LRB-,Barbara,-RRB-,"","",Jeffrey,Tambor,-LRB-,Geek/Margolis,-RRB-,"","",Christopher,Kennedy,Lawford,-LRB-,Lars,-RRB-,"","",Lana,Antonova,-LRB-,Lilly,-RRB-,"","",Gene,Borkan,-LRB-,Mel/Shel,-RRB-,"","",Michael,Clarke,Duncan,-LRB-,Mort,-RRB-,"","",Jennifer,Mann,-LRB-,Joanie,-RRB-,"","",S.,Epatha,Merkerson,-LRB-,Bonnie,Sylvester,-RRB-,and,John,Turturro,-LRB-,Harvey,-RRB-,.}",98,2,46,2,2,"{""INV_NGRAM_1_[,]"",INV_LENGTHS_[13_14],""INV_NER_L_3_R_2_[PERSON O O]_[O PERSON]"",""INV_BETW_L_[conj_and nn]"",INV_NGRAM_1_[-lrb-],""INV_NER_L_1_R_3_[O]_[O PERSON O]""}","{-0.683653,0.660762,0.556104,-0.459423,0.445222,-0.346762}"
45384@27_7-45384@27_13,45384@27,Jamie Foxx-Ryan Seacrest,,0.938,"{Other,reported,guests,:,Jessica,Simpson,"","",Jamie,Foxx,"","",Lionel,Richie,"","",Ryan,Seacrest,"","",Mario,Lopez,and,soccer,star,Thierry,Henry,.}",7,2,13,2,2,"{""BETW_L_[conj_and conj_and]"",""LEMMA_L_1_R_1_[,]_[,]"",""NER_L_3_R_1_[PERSON PERSON O]_[O]"",""NER_L_3_R_2_[PERSON PERSON O]_[O PERSON]"",STARTS_WITH_CAPITAL_[True_True],""NER_L_2_R_2_[PERSON O]_[O PERSON]""}","{1.099,0.703995,0.682827,-0.348342,0.28568,-0.285438}"
140774@29_7-140774@29_10,140774@29,Nick Weiss-Donna Spivey,,1,"{On,Sept.,25,"","",a,Thursday,"","",Nick,Weiss,and,Donna,Spivey,"","",who,live,in,Harlem,"","",found,a,volunteer,:,a,taciturn,man,wearing,a,Muslim,prayer,cap,.}",7,2,10,2,2,"{LENGTHS_[10_12],LEMMA_SEQ_[and],WORD_SEQ_[and],POS_SEQ_[CC],""BETW_L_[nsubj nsubj]"",NER_SEQ_[O]}","{2.01349,1.65318,1.65318,1.13271,1.12347,1.01733}"
134523@17_4-134523@17_1,134523@17,Elisabeth Bumiller-Jeff Zeleny,,0.998,"{By,Jeff,Zeleny,and,Elisabeth,Bumiller,.}",4,2,1,2,2,"{INV_LEMMA_SEQ_[and],INV_WORD_SEQ_[and],INV_LEMMA_L_1_R_1_[by]_[.],INV_POS_SEQ_[CC],INV_BETW_[conj_and],INV_BETW_D_[conj_and]}","{1.30862,1.30862,-1.22541,0.788145,0.480502,0.480502}"
73573@27_35-73573@27_37,73573@27,Cameron-Keira,,0.998,"{With,her,perpetual,tan,and,long,"","",flowing,blond,tresses,"","",Rachel,Zoe,has,built,a,Hollywood,styling,career,with,actresses,so,famous,one,name,is,enough,to,identify,them,:,Demi,and,Mischa,"","",Cameron,and,Keira,.}",35,1,37,1,1,"{WORD_SEQ_[and],LEMMA_SEQ_[and],POS_SEQ_[CC],NER_SEQ_[O],""NER_L_3_R_1_[O PERSON O]_[O]"",NGRAM_1_[and]}","{1.65318,1.65318,1.13271,1.01733,-0.850509,0.384288}"
38625@11_8-38625@11_10,38625@11,Ben-Alison Scott,,0.992,"{Clubbing,one,night,in,a,clean,T-shirt,"","",Ben,meets,Alison,Scott,-LRB-,Heigl,-RRB-,"","",as,far,out,of,his,league,as,"","",well,--,let,'s,just,say,Yankies,payroll/Rockies,payroll,.}",8,1,10,2,2,"{NER_SEQ_[O],""NER_L_3_R_3_[O O O]_[O PERSON O]"",""NER_L_2_R_3_[O O]_[O PERSON O]"",""LEMMA_L_1_R_1_[,]_[-lrb-]"",""NER_L_3_R_1_[O O O]_[O]"",STARTS_WITH_CAPITAL_[True_True]}","{1.01733,0.48102,0.456959,0.386783,0.315698,0.28568}"
135790@9_11-135790@9_9,135790@9,Obama-McCain,,1,"{At,the,end,of,their,15-minute,public,detente,"","",McCain,and,Obama,shook,hands,"","",and,McCain,could,be,heard,saying,"","",``,All,right,"","",sir,"","",see,you,soon,.,''}",11,1,9,1,1,"{""INV_BETW_L_[nsubj nsubj]"",INV_LEMMA_SEQ_[and],INV_WORD_SEQ_[and],""INV_NER_L_2_R_2_[O O]_[O O]"",INV_POS_SEQ_[CC],""INV_NER_L_3_R_3_[O O O]_[O O O]""}","{1.57563,1.30862,1.30862,-1.13902,0.788145,0.749234}"
34215@43_14-34215@43_24,34215@43,Michael Gruber-Holly Cruikshank,,0.998,"{WITH,:,Kristin,Chenoweth,"","",Kevin,Chamberlin,"","",Christopher,Fitzgerald,"","",Jenn,Gambatese,"","",Michael,Gruber,"","",Shonn,Wiley,"","",J.,Mark,McVey,"","",Holly,Cruikshank,"","",Kendrick,Jones,"","",Capathia,Jenkins,and,Ruthie,Henshall,.}",14,2,24,2,2,"{""BETW_L_[conj_and conj_and]"",LENGTHS_[14_16],""LEMMA_L_1_R_1_[,]_[,]"",""NER_L_3_R_1_[PERSON PERSON O]_[O]"",""NER_L_3_R_2_[PERSON PERSON O]_[O PERSON]"",STARTS_WITH_CAPITAL_[True_True]}","{1.099,1.05474,0.703995,0.682827,-0.348342,0.28568}"
86601@37_24-86601@37_20,86601@37,Donna Tartt-Roy Blount Jr.,,1,"{Evans,has,big,plans,for,his,new,magazine,"","",which,"","",under,its,previous,regime,"","",published,Pat,Conroy,"","",Roy,Blount,Jr.,and,Donna,Tartt,-LRB-,writing,about,bourbon,-RRB-,.}",24,2,20,3,3,"{INV_LEMMA_SEQ_[and],INV_WORD_SEQ_[and],INV_LENGTHS_[11_14],""INV_BETW_L_[conj_and conj_and]"",INV_POS_SEQ_[CC],""INV_NER_L_1_R_2_[O]_[O O]""}","{1.30862,1.30862,-1.14633,1.13144,0.788145,-0.647165}"
43951@28_44-43951@28_5,43951@28,James McCaffrey-Nora Wilder,,0.928,"{WITH,:,Parker,Posey,-LRB-,Nora,Wilder,-RRB-,"","",Melvil,Poupaud,-LRB-,Julien,-RRB-,"","",Drea,de,Matteo,-LRB-,Audrey,Andrews,-RRB-,"","",Justin,Theroux,-LRB-,Nick,Gable,-RRB-,"","",Peter,Bogdanovich,-LRB-,Irving,Mann,-RRB-,"","",Tim,Guinee,-LRB-,Mark,Andrews,-RRB-,"","",James,McCaffrey,-LRB-,Perry,-RRB-,"","",Gena,Rowlands,-LRB-,Vivien,Wilder-Mann,-RRB-,and,Josh,Hamilton,-LRB-,Charlie,-RRB-,.}",44,2,5,2,2,"{INV_LENGTHS_[15_11],""INV_NGRAM_1_[,]"",""INV_BETW_L_[appos appos]"",""INV_NER_L_2_R_1_[PERSON O]_[O]"",INV_NGRAM_1_[-lrb-],""INV_NER_L_1_R_3_[O]_[O PERSON O]""}","{0.995455,-0.683653,0.635681,-0.471823,0.445222,-0.346762}"
118053@29_10-118053@29_31,118053@29,Hillary Clinton-Obama,,0.982,"{Senator,Ben,Nelson,"","",a,Nebraska,Democrat,who,disagreed,with,Hillary,Clinton,on,healthcare,changes,when,he,was,Nebraska,governor,and,her,husband,was,in,the,White,House,"","",has,endorsed,Obama,.}",10,2,31,1,1,"{NGRAM_1_[she],NGRAM_1_[husband],NGRAM_1_[on],NGRAM_1_[be],NGRAM_1_[he],""NGRAM_2_[she husband]""}","{1.30615,1.18821,-0.86354,-0.583433,-0.583252,0.494653}"
