relation_id,feature
31219@21_5-31219@21_9,NER_L_3_R_2_[O O O]_[O O]
149989@7_25-149989@7_8,INV_NGRAM_2_[strategist and]
79450@17_8-79450@17_11,STARTS_WITH_CAPITAL_[True_True]
34215@40_68-34215@40_170,NGRAM_1_[Zaks]
92804@3_36-92804@3_16,INV_NGRAM_1_[he]
112624@16_30-112624@16_3,INV_LEMMA_L_2_R_1_[movie star]_[.]
1938@37_2-1938@37_51,NER_L_3_R_1_[O O O]_[O]
148797@49_67-148797@49_13,INV_NGRAM_3_[on the Universal]
95467@16_19-95467@16_9,INV_NER_SEQ_[O O O O O O O O]
60619@9_24-60619@9_50,"NGRAM_3_[from Andover ,]"
108567@15_0-108567@15_40,NGRAM_2_[-lrb- Walker]
2190@45_14-2190@45_32,"LEMMA_L_3_R_3_[latest from writer-director]_['s wife ,]"
43951@28_37-43951@28_47,NER_L_2_R_2_[O O]_[O O]
153946@38_121-153946@38_23,"INV_NGRAM_3_[-rrb- , Susannah]"
148797@49_67-148797@49_113,NGRAM_2_[by Paul]
153946@38_23-153946@38_144,NGRAM_3_[Jones -lrb- Hannah]
64529@59_10-64529@59_16,"LEMMA_L_3_R_1_[Hood Stars :]_[,]"
65923@30_4-65923@30_13,"LEMMA_L_2_R_2_[city councilor]_[, be]"
154431@2_204-154431@2_49,INV_NGRAM_1_[to]
69927@20_0-69927@20_40,NGRAM_1_[47]
53484@39_44-53484@39_2,INV_NGRAM_1_[Keaton]
131251@0_80-131251@0_19,"INV_NGRAM_3_[Teddy Geiger ,]"
72549@33_2-72549@33_90,NER_L_3_R_2_[O O O]_[O PERSON]
148797@49_113-148797@49_31,INV_NGRAM_1_[Greene]
128379@16_0-128379@16_2,"LEMMA_L_2_R_2_[victory .]_[, the]"
32186@40_24-32186@40_64,NGRAM_1_[Rosemary]
132688@14_1-132688@14_39,NGRAM_1_[that]
153946@38_121-153946@38_41,"INV_NGRAM_2_[, Ora]"
45661@18_0-45661@18_9,NGRAM_3_[old lover -lrb-]
34150@25_66-34150@25_9,INV_NGRAM_1_[personality]
76928@10_21-76928@10_10,"INV_LEMMA_L_2_R_2_[, which]_[adviser say]"
99711@5_8-99711@5_41,NER_L_2_R_1_[O O]_[O]
34215@40_164-34215@40_77,INV_NGRAM_2_[Jean Kerr]
154431@2_201-154431@2_51,INV_NGRAM_1_[Karyn]
112624@26_12-112624@26_35,NER_SEQ_[O O O O PERSON PERSON O O O O O O O O PERSON PERSON O O PERSON PERSON O]
90690@44_24-90690@44_87,NGRAM_1_[book]
38740@25_40-38740@25_13,INV_NGRAM_1_[balcony]
38947@20_20-38947@20_0,"INV_NGRAM_2_[Baruchel ,]"
46394@7_49-46394@7_5,INV_NGRAM_3_[political acumen have]
99711@5_35-99711@5_8,INV_NGRAM_2_[Javier Bardem]
71720@5_26-71720@5_14,INV_NER_L_2_R_2_[O O]_[O PERSON]
73590@19_8-73590@19_11,NER_L_2_R_3_[PERSON O]_[O PERSON PERSON]
64529@115_26-64529@115_10,INV_STARTS_WITH_CAPITAL_[True_True]
125840@50_47-125840@50_65,NGRAM_3_[-lrb- Ken Cosgrove]
113942@49_18-113942@49_16,INV_WORD_SEQ_[and]
