relation_id,feature
AFP_ENG_20080929.0045.LDC2009T13_133_41-AFP_ENG_20080929.0045.LDC2009T13_133_0,INV_NGRAM_1_[include]
NYT_ENG_20080905.0084.LDC2009T13_883_0-NYT_ENG_20080905.0084.LDC2009T13_883_41,"NGRAM_2_[Gaddis ,]"
APW_ENG_20080221.1396.LDC2009T13_74_7-APW_ENG_20080221.1396.LDC2009T13_74_2,INV_NER_L_3_R_3_[O O O]_[O PERSON PERSON]
NYT_ENG_20080916.0032.LDC2009T13_720_6-NYT_ENG_20080916.0032.LDC2009T13_720_54,"WORD_SEQ_[, of Manhattan , Vega Yunque is survived by a stepdaughter , the singer Suzanne Vega , also of Manhattan ; a son , Matthew , of Amagansett , N.Y. ; a brother , Jay Vega , of Cape May , N.J. ; a sister ,]"
133284@47_1-133284@47_8,LEMMA_L_2_R_1_['' the]_[in]
eng-WL-11-174598-12965226_1323_6-eng-WL-11-174598-12965226_1323_9,"POS_SEQ_[,]"
eng-WL-11-174595-12968344_334_16-eng-WL-11-174595-12968344_334_53,NGRAM_3_[source connect with]
eng-NG-31-142148-10022821_899_31-eng-NG-31-142148-10022821_899_27,"INV_LEMMA_L_2_R_1_[Godse and]_[,]"
eng-NG-31-101177-10944963_741_20-eng-NG-31-101177-10944963_741_28,"LEMMA_L_2_R_3_[Michael ,]_[, Thomas ,]"
eng-WL-11-174598-12964933_491_0-eng-WL-11-174598-12964933_491_14,"POS_SEQ_[CC DT NN : NN NNP NNP , NN NN NN CC JJ]"
42562@34_4-42562@34_6,"LEMMA_L_1_R_2_[with]_[, in]"
NYT_ENG_20070821.0176.LDC2009T13_1004_7-NYT_ENG_20070821.0176.LDC2009T13_1004_21,NER_L_3_R_1_[O O O]_[O]
APW_ENG_20080219.0030.LDC2009T13_933_13-APW_ENG_20080219.0030.LDC2009T13_933_39,"NGRAM_1_[,]"
