relation_id,feature
eng-WL-11-174643-13000290_164_6-eng-WL-11-174643-13000290_164_16,NGRAM_1_[James]
AFP_ENG_20080418.0632.LDC2009T13_9_60-AFP_ENG_20080418.0632.LDC2009T13_9_25,INV_NGRAM_3_[run by she]
AFP_ENG_20070614.0017.LDC2009T13_102_51-AFP_ENG_20070614.0017.LDC2009T13_102_16,INV_NGRAM_3_[complex nature of]
LTW_ENG_20081203.0075.LDC2009T13_535_57-LTW_ENG_20081203.0075.LDC2009T13_535_41,"INV_POS_SEQ_[, NNP NNP , NNP NNP , NNP NNP , NNP NNP NNP ,]"
APW_ENG_20070902.0180.LDC2009T13_168_67-APW_ENG_20070902.0180.LDC2009T13_168_16,"INV_NGRAM_3_[, No. 15]"
61705@23_44-61705@23_1,INV_NGRAM_3_[intent on a]
NYT_ENG_20070114.0129.LDC2009T13_331_34-NYT_ENG_20070114.0129.LDC2009T13_331_12,INV_W_LEMMA_L_1_R_3_[by]_[and Brinda ;]
APW_ENG_20080203.0740.LDC2009T13_500_41-APW_ENG_20080203.0740.LDC2009T13_500_2,"INV_NGRAM_2_[-rrb- ,]"
137157@43_24-137157@43_17,"INV_W_LEMMA_L_1_R_3_[before]_[, be order]"
APW_ENG_20070927.0676.LDC2009T13_458_26-APW_ENG_20070927.0676.LDC2009T13_458_5,"INV_LEMMA_SEQ_[, Gonzalo Canale , Mirco Bergamasco , Andrea Masi , Ramiro Pez , Alessandro Troncon -lrb- captain -rrb- ;]"
AFP_ENG_20070201.0268.LDC2009T13_29_92-AFP_ENG_20070201.0268.LDC2009T13_29_27,"INV_POS_SEQ_[-LRB- NNP -RRB- : NNP NNP -LRB- NNP -RRB- , NNP NNP -LRB- NNP -RRB- : NNP NNP -LRB- NNP NNP -RRB- , NNP NNP -LRB- NNP NNP -RRB- , NNP NNP -LRB- NNP NNP -RRB- : NNP NNP -LRB- NNP , NN -RRB- , NNP NNP -LRB- NNP -RRB- : NNP NNP -LRB- NN -RRB- , NNP NNP -LRB- NNP -RRB- ,]"
APW_ENG_20070815.0838.LDC2009T13_1464_29-APW_ENG_20070815.0838.LDC2009T13_1464_14,"INV_WORD_SEQ_[, Nathan Hines , Allister Hogg , Allan Jacobsen , Gavin Kerr ,]"
51448@0_10-51448@0_38,W_NER_L_3_R_1_[O O O]_[O]
AFP_ENG_20080130.0263.LDC2009T13_537_38-AFP_ENG_20080130.0263.LDC2009T13_537_15,INV_W_NER_L_1_R_2_[O]_[O PERSON]
NYT_ENG_20070101.0033.LDC2009T13_3203_39-NYT_ENG_20070101.0033.LDC2009T13_3203_16,"INV_W_LEMMA_L_1_R_2_['s]_[, car]"
NYT_ENG_20070718.0124.LDC2009T13_1115_69-NYT_ENG_20070718.0124.LDC2009T13_1115_54,INV_NGRAM_1_[designer]
eng-WL-11-174588-12938737_6769_35-eng-WL-11-174588-12938737_6769_82,NGRAM_2_[Ben Stiller]
70210@0_26-70210@0_67,"POS_SEQ_[, NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP , NNP NNP VBG NN : CD NNS VBN : NN -LRB- NN , NN NN , JJ NN -RRB- NNP VB NN ,]"
70210@0_35-70210@0_67,NGRAM_2_[run time]
NYT_ENG_20070823.0141.LDC2009T13_1085_46-NYT_ENG_20070823.0141.LDC2009T13_1085_16,INV_NGRAM_3_[music by Mark]
eng-WL-11-174595-12967530_391_0-eng-WL-11-174595-12967530_391_3,NER_SEQ_[O]
eng-WL-11-174611-12976586_18_12-eng-WL-11-174611-12976586_18_29,NGRAM_2_[which Miko]
LTW_ENG_20080521.0053.LDC2009T13_1011_37-LTW_ENG_20080521.0053.LDC2009T13_1011_35,INV_W_NER_L_3_R_1_[PERSON PERSON O]_[O]
APW_ENG_20070507.0077.LDC2009T13_0_3-APW_ENG_20070507.0077.LDC2009T13_0_0,INV_POS_SEQ_[CC]
eng-WL-110-174612-12990508_35_46-eng-WL-110-174612-12990508_35_12,"INV_NGRAM_2_[, Evan]"
eng-WL-11-174587-12962092_24_12-eng-WL-11-174587-12962092_24_5,INV_NGRAM_2_[she sister]
eng-WL-107-174567-12931912_349_20-eng-WL-107-174567-12931912_349_50,NGRAM_1_[and]
eng-WL-110-174612-12992567_146_2-eng-WL-110-174612-12992567_146_49,NGRAM_1_[big]
132186@1_5-132186@1_9,W_NER_L_1_R_3_[O]_[O O O]
89204@21_14-89204@21_23,NGRAM_3_[voter and man]
eng-WL-110-174612-12991749_58_140-eng-WL-110-174612-12991749_58_10,INV_NGRAM_2_[Chad Beatz]
68728@21_34-68728@21_41,W_NER_L_2_R_3_[O O]_[O O O]
45661@0_38-45661@0_4,"INV_NGRAM_2_[Minot ,]"
APW_ENG_20070815.0838.LDC2009T13_1464_69-APW_ENG_20070815.0838.LDC2009T13_1464_38,INV_NGRAM_1_[-lrb-]
NYT_ENG_20070405.0137.LDC2009T13_1140_7-NYT_ENG_20070405.0137.LDC2009T13_1140_53,BETW_D_[dep . dep]
XIN_ENG_20081008.0300.LDC2009T13_307_9-XIN_ENG_20081008.0300.LDC2009T13_307_64,"NGRAM_2_[, Kalu]"
LTW_ENG_20070301.0009.LDC2009T13_261_14-LTW_ENG_20070301.0009.LDC2009T13_261_44,"NGRAM_1_[,]"
APW_ENG_20080911.0142.LDC2009T13_994_28-APW_ENG_20080911.0142.LDC2009T13_994_32,"NGRAM_2_[, stylist]"
eng-WL-11-174587-12961764_591_45-eng-WL-11-174587-12961764_591_86,"NGRAM_3_[, a grammy-winning]"
NYT_ENG_20080815.0220.LDC2009T13_463_40-NYT_ENG_20080815.0220.LDC2009T13_463_7,INV_NGRAM_3_[he be survive]
APW_ENG_20070927.0676.LDC2009T13_458_42-APW_ENG_20070927.0676.LDC2009T13_458_14,"INV_W_LEMMA_L_1_R_2_[,]_[, Mauro]"
eng-WL-110-174612-12992452_59_18-eng-WL-110-174612-12992452_59_58,"NGRAM_2_[, Jordin]"
47550@51_60-47550@51_10,INV_NGRAM_3_[; and brother]
eng-WL-110-174612-12991749_58_14-eng-WL-110-174612-12991749_58_186,"NGRAM_3_[, Toni Braxton]"
