relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
APW_ENG_20071217.1007.LDC2009T13_333_39-APW_ENG_20071217.1007.LDC2009T13_333_31,APW_ENG_20071217.1007.LDC2009T13_333,Hadrian-Vibia Sabina,t,0.978,"{Other,artifacts,include,an,Etruscan,perfume,vase,in,the,form,of,a,duck,"","",frescoes,from,Pompeii,"","",as,well,as,a,3rd,century,statue,"","",returned,by,Boston,"","",of,Vibia,Sabina,"","",the,wife,of,the,Emperor,Hadrian,.}",39,1,31,2,2,"{INV_NGRAM_1_[wife],""INV_BETW_D_[prep_of DICT_married appos]"",""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_2_[wife of]"",IS_INVERTED}","{1.49919,0.835743,-0.724749,-0.711062,0.657719,-0.611938}"
APW_ENG_20080301.0372.LDC2009T13_19_5-APW_ENG_20080301.0372.LDC2009T13_19_1,APW_ENG_20080301.0372.LDC2009T13_19,Marc Anthony-Jennifer Lopez,t,0.936,"{Singer,Jennifer,Lopez,and,husband,Marc,Anthony,have,reportedly,named,their,newborn,twins,Max,and,Emme,.}",5,2,1,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_2],""INV_POS_SEQ_[CC NN]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O]""}","{1.50661,0.944336,0.771935,-0.711062,-0.611938,0.489855}"
APW_ENG_20080219.1279.LDC2009T13_17_10-APW_ENG_20080219.1279.LDC2009T13_17_29,APW_ENG_20080219.1279.LDC2009T13_17,Britney Spears-Kevin Federline,t,0.972,"{A,Superior,Court,commissioner,on,Tuesday,denied,a,request,by,Britney,Spears,',divorce,attorney,to,issue,a,gag,order,in,the,pop,star,'s,child-custody,dispute,with,ex-husband,Kevin,Federline,.}",10,2,29,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[ex-husband],LENGTHS_[2_3],NGRAM_1_[divorce],NGRAM_1_[with],NGRAM_1_[']}","{-1.15086,1.01958,0.840363,0.573445,0.400831,0.198909}"
eng-NG-31-102460-11229977_15_27-eng-NG-31-102460-11229977_15_34,eng-NG-31-102460-11229977_15,Alison Stewart-Bill Wolff,t,0.988,"{Presidency,``,A,Chapter,Of,Hideous,Accidents,'',The,Daily,Beast,founder,and,editor-in-chief,Tina,Brown,appeared,on,``,The,Rachel,Maddow,Show,'',-LRB-,guest-hosted,by,Alison,Stewart,"","",wife,of,executive,producer,Bill,Wolff,-RRB-,Tuesday,night,.}",27,2,34,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",""NGRAM_2_[wife of]""}","{1.32574,-1.15086,0.912737,0.82894,-0.801364,0.624074}"
eng-NG-31-141957-9980359_31_8-eng-NG-31-141957-9980359_31_20,eng-NG-31-141957-9980359_31,Paul McCartney-Heather Mills,t,0.962,"{LONDON,-LRB-,Reuters,-RRB-,-,The,judge,in,Paul,McCartney,'s,divorce,settlement,berated,the,former,Beatle,'s,estranged,wife,Heather,Mills,for,giving,``,inconsistent,and,inaccurate,'',evidence,"","",according,to,details,of,his,ruling,released,on,Tuesday,.}",8,2,20,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NGRAM_1_[divorce],""NGRAM_2_[estrange wife]"",NGRAM_1_[Beatle]}","{1.32574,-1.15086,0.912737,0.573445,0.205048,0.194397}"
APW_ENG_20080528.0871.LDC2009T13_58_0-APW_ENG_20080528.0871.LDC2009T13_58_11,APW_ENG_20080528.0871.LDC2009T13_58,Nyirenda-Guy Ritchie,,0.912,"{Nyirenda,said,he,was,satisfied,Madonna,and,her,British,filmmaker,husband,Guy,Ritchie,``,are,perfect,parents,'',for,David,"","",who,turns,3,in,November,.}",0,1,11,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[she],LENGTHS_[1_2],NGRAM_1_[he],NGRAM_1_[and]}","{1.56642,-1.15086,0.654292,0.376612,0.374977,-0.281565}"
eng-WL-11-174592-12942666_81_8-eng-WL-11-174592-12942666_81_0,eng-WL-11-174592-12942666_81,Tony Parker-Eva Longoria,t,0.94,"{Eva,Longoria,is,getting,married,to,basketball,player,Tony,Parker,on,July,7,in,his,native,France,.}",8,2,0,2,2,"{INV_NGRAM_1_[marry],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NGRAM_2_[marry to]"",""INV_W_NER_L_1_R_2_[O]_[O DATE]""}","{1.3141,0.944336,-0.711062,-0.611938,0.45797,0.227317}"
APW_ENG_20080903.0884.LDC2009T13_36_11-APW_ENG_20080903.0884.LDC2009T13_36_29,APW_ENG_20080903.0884.LDC2009T13_36,Asif Ali Zardari-Benazir Bhutto,t,0.91,"{U.S.,Ambassador,Zalmay,Khalilzad,said,he,had,not,provided,advice,to,Asif,Ali,Zardari,"","",the,head,of,the,Pakistan,People,'s,Party,and,widower,of,slain,ex-Prime,Minister,Benazir,Bhutto,.}",11,3,29,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[widower],""NGRAM_1_[,]"",""NGRAM_2_[widower of]"",NGRAM_1_[of]}","{-1.15086,0.982253,0.924263,-0.801364,0.607217,-0.338096}"
APW_ENG_20080505.0845.LDC2009T13_16_6-APW_ENG_20080505.0845.LDC2009T13_16_0,APW_ENG_20080505.0845.LDC2009T13_16,Ryan Reynolds-Scarlett Johansson,t,0.936,"{Scarlett,Johansson,and,her,boyfriend,"","",Ryan,Reynolds,"","",are,engaged,.}",6,2,0,2,2,"{INV_LENGTHS_[2_3],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[boyfriend],IS_INVERTED,INV_NGRAM_1_[she]}","{1.05043,-0.724749,-0.711062,0.663358,-0.611938,0.602986}"
APW_ENG_20081214.0223.LDC2009T13_165_31-APW_ENG_20081214.0223.LDC2009T13_165_25,APW_ENG_20081214.0223.LDC2009T13_165,Benazir Bhutto-Asif Ali Zardari,t,0.928,"{``,This,is,a,chilling,reminder,that,we,are,all,victims,of,terrorism,"","",'',Brown,said,in,a,joint,news,conference,with,Pakistan,President,Asif,Ali,Zardari,"","",whose,wife,Benazir,Bhutto,was,killed,during,a,terror,attack,last,year,after,returning,from,exile,.}",31,2,25,3,3,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_3],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]""}","{1.49919,1.05043,-0.724749,-0.711062,-0.611938,0.506441}"
