relation_id,sentence_id,description,is_true,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
AFP_ENG_20080508.0065.LDC2009T13_42_30-AFP_ENG_20080508.0065.LDC2009T13_42_20,AFP_ENG_20080508.0065.LDC2009T13_42,John Edwards-Elizabeth Edwards,t,"{``,We,have,chosen,as,a,nation,to,turn,our,backs,on,some,of,us,who,have,cancer,"","",'',Elizabeth,Edwards,"","",wife,of,former,White,House,Democratic,contender,John,Edwards,"","",told,a,hearing,of,the,Senate,committee,for,health,"","",education,"","",labor,and,pensions,.}",30,2,20,2,2,"{INV_NGRAM_1_[wife],""INV_BETW_D_[prep_of DICT_married appos]"",""INV_BETW_[prep_of wife appos]"",""INV_BETW_L_[prep_of appos]"",""INV_NGRAM_2_[wife of]"",""INV_NGRAM_1_[,]""}","{3.74889,3.01185,2.08258,1.48212,1.43337,-1.42472}"
APW_ENG_20080115.1228.LDC2009T13_0_0-APW_ENG_20080115.1228.LDC2009T13_0_7,APW_ENG_20080115.1228.LDC2009T13_0,Joel Madden-Nicole Richie,t,"{Joel,Madden,says,his,newborn,daughter,with,Nicole,Richie,has,a,healthy,appetite}",0,2,7,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[with],""NGRAM_2_[daughter with]"",""NER_SEQ_[O O O O O]""}","{-2.20027,-2.15061,2.03006,0.916859,0.885425,0.853185}"
eng-WL-11-174595-12970844_5_11-eng-WL-11-174595-12970844_5_8,eng-WL-11-174595-12970844_5,Nick Cannon-Mariah Carey,t,"{People,magazine,has,released,the,first,photo,from,Mariah,Carey,and,Nick,Cannon,'s,surprise,"","",secret,Caribbean,wedding,on,the,cover,of,their,latest,issue,.}",11,2,8,2,2,"{INV_LEMMA_SEQ_[and],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_3_R_1_[ORDINAL O O]_[O]"",INV_LEMMA_L_1_R_1_[from]_['s],""INV_NER_L_3_R_3_[ORDINAL O O]_[O O O]"",""INV_BETW_L_[poss prep_from prep_from]""}","{1.68884,-1.149,-1.13722,1.09214,1.06316,1.01103}"
LTW_ENG_20070106.0070.LDC2009T13_725_37-LTW_ENG_20070106.0070.LDC2009T13_725_34,LTW_ENG_20070106.0070.LDC2009T13_725,Nick Lachey-Jessica Simpson,t,"{From,Brad,Pitt,in,early,2006,to,Britney,Spears,late,in,the,year,--,with,a,list,that,included,Jennifer,Aniston,"","",Tom,Arnold,"","",Denise,Richards,"","",Charlie,Sheen,"","",Heather,Locklear,"","",Jessica,Simpson,"","",Nick,Lachey,and,Reese,Witherspoon,"","",to,name,a,few,--,2006,may,be,recalled,as,the,year,of,celebrity,divorce,.}",37,2,34,2,2,"{""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]"",""INV_NER_L_1_R_3_[O]_[O PERSON PERSON]"",IS_INVERTED,INV_NER_SEQ_[O]}","{-1.42472,-1.149,1.0885,-0.602702,0.57978,0.479017}"
eng-NG-31-141957-9978830_728_9-eng-NG-31-141957-9978830_728_17,eng-NG-31-141957-9978830_728,Heather Mills-Paul McCartney,t,"{The,panel,of,judges,for,Friday,'s,pageant,included,Heather,Mills,"","",model,and,former,wife,of,Paul,McCartney,;,comedian,Rob,Schneider,;,Olympic,gold-medal,swimmer,Amanda,Beard,;,and,Christian,Siriano,"","",winner,of,Bravo,'s,fashion,reality,series,"","",``,Project,Runway,.,''}",9,2,17,2,2,"{NGRAM_1_[wife],""BETW_D_[appos DICT_married prep_of]"",""BETW_[appos wife prep_of]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]""}","{5.01088,3.63744,2.2343,-2.15061,2.03006,-1.35882}"
eng-WL-11-174595-12968049_1918_25-eng-WL-11-174595-12968049_1918_18,eng-WL-11-174595-12968049_1918,Liv Tyler-Royston Langdon,t,"{In,this,issue,"","",Joaquin,interviews,Spacehog,Arckid,and,is,photographed,in,the,second,pic,with,lead,singer,Royston,Langdon,...,who,is,married,to,Liv,Tyler,.}",25,2,18,2,2,"{INV_NGRAM_1_[marry],""INV_NGRAM_2_[marry to]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_3_[be marry to]"",INV_NER_L_1_R_1_[TITLE]_[O],IS_INVERTED}","{4.10193,1.55948,-1.149,1.14322,1.05752,0.57978}"
AFP_ENG_19941126.0042.LDC2007T07_74_29-AFP_ENG_19941126.0042.LDC2007T07_74_21,AFP_ENG_19941126.0042.LDC2007T07_74,Sukarno-Dewi Sukarno,t,"{Found,in,the,house,were,700,pornographic,movies,and,600,magazines,and,books,"","",one,of,which,contained,nude,photographs,of,Dewi,Sukarno,"","",the,jetsetting,widow,of,President,Sukarno,"","",it,said,.}",29,1,21,2,2,"{""INV_BETW_D_[prep_of DICT_married appos]"",INV_NGRAM_1_[widow],""INV_BETW_L_[prep_of appos]"",""INV_NGRAM_1_[,]"",""INV_NGRAM_2_[widow of]"",""INV_NER_L_3_R_2_[O O O]_[O O]""}","{3.01185,2.06386,1.48212,-1.42472,1.38,-1.22689}"
eng-WL-11-174573-12958948_275_7-eng-WL-11-174573-12958948_275_10,eng-WL-11-174573-12958948_275,Ryan Gosling-Rachel McAdams,t,"{Some,good,choices,"","",but,how,can,Ryan,Gosling,&,Rachel,McAdams,"","",The,Notebook,be,last,?}",7,2,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],POS_SEQ_[CC],LEMMA_SEQ_[&],WORD_SEQ_[&],""NER_L_3_R_1_[O O O]_[O]""}","{-2.15061,2.03006,0.724491,0.539653,0.539653,0.488205}"
eng-WL-11-174595-12967832_177_12-eng-WL-11-174595-12967832_177_15,eng-WL-11-174595-12967832_177,Gwen Stefani-Gavin Rossdale,t,"{Well,...,I,hope,y',all,got,to,see,the,pictures,of,Gwen,Stefani,"","",Gavin,Rossdale,and,baby,Kingston,James,yesterday,while,they,were,available,-LRB-,but,if,you,search,hard,enough,"","",you,'ll,prolly,still,be,able,to,find,them,somewhere,on,the,InterWeb,-RRB-,...,since,the,pictures,are,being,removed,all,over,the,place,let,'s,just,try,and,enjoy,these,pictures,of,the,happy,family,taking,a,little,stroll,in,the,California,sunshine,:}",12,2,15,2,2,"{STARTS_WITH_CAPITAL_[True_True],""LEMMA_L_2_R_1_[picture of]_[and]"",NER_L_1_R_1_[O]_[O],""NER_L_1_R_3_[O]_[O O PERSON]"",""NGRAM_1_[,]"",""LEMMA_L_1_R_2_[of]_[and baby]""}","{-2.15061,2.10989,2.03006,-1.62449,-1.35882,1.1595}"
APW_ENG_20080311.1221.LDC2009T13_840_39-APW_ENG_20080311.1221.LDC2009T13_840_29,APW_ENG_20080311.1221.LDC2009T13_840,Benazir Bhutto-Asif Ali Zardari,t,"{The,second,bombing,hit,an,advertising,agency,at,a,house,in,the,upscale,Model,Town,neighborhood,"","",less,than,50,meters,-LRB-,yards,-RRB-,from,a,residence,owned,by,Asif,Ali,Zardari,"","",the,widower,of,slain,opposition,leader,Benazir,Bhutto,and,co-chairman,of,her,party,.}",39,2,29,3,3,"{INV_NGRAM_1_[widower],""INV_NGRAM_2_[widower of]"",""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{2.70046,2.41389,-1.42472,-1.22689,1.17156,-1.149}"
