relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length
AFP_ENG_20081124.0246.LDC2009T13_258_2-AFP_ENG_20081124.0246.LDC2009T13_258_11,AFP_ENG_20081124.0246.LDC2009T13_258,Zuma-Kofi Annan,,0.006,"{Motlanthe,and,Zuma,spoke,after,meeting,with,former,UN,secretary,general,Kofi,Annan,and,former,US,president,Jimmy,Carter,"","",who,were,denied,visas,for,a,humanitarian,mission,they,had,planned,for,last,weekend,.}",2,1,11,2
NYT_ENG_20080912.0086.LDC2009T13_915_11-NYT_ENG_20080912.0086.LDC2009T13_915_25,NYT_ENG_20080912.0086.LDC2009T13_915,Obama-Sarah Palin,,0.026,"{Then,he,ambushes,Barack,Obama,with,a,misleading,commercial,that,states,Obama,'s,lipstick,on,a,pig,comment,was,specifically,directed,at,GOP,running,mate,Sarah,Palin,.}",11,1,25,2
APW_ENG_20070324.0696.LDC2009T13_133_9-APW_ENG_20070324.0696.LDC2009T13_133_2,APW_ENG_20070324.0696.LDC2009T13_133,Makayha Ntini-Shaun Pollock,,0.008,"{Bowling,:,Shaun,Pollock,10-0-83-0,-LRB-,2w,-RRB-,"","",Makayha,Ntini,9-0-68-1,"","",Charl,Langeveldt,10-0-82-1,-LRB-,1nb,"",2"",w,-RRB-,"","",Andrew,Hall,10-0-60-2,"","",Graeme,Smith,2-0-14-0,"","",Jacques,Kallis,9-0-66-1,.}",9,2,2,2
132391@34_6-132391@34_13,132391@34,Obama-Edward Kennedy,,0.074,"{Yet,for,all,the,planning,by,Obama,'s,aides,"","",the,appearance,by,Edward,Kennedy,was,the,most,anticipated,event,of,the,day,.}",6,1,13,2
APW_ENG_20070102.0221.LDC2009T13_189_32-APW_ENG_20070102.0221.LDC2009T13_189_28,APW_ENG_20070102.0221.LDC2009T13_189,George H.W. Bush-Henry Kissinger,,0.026,"{At,the,service,"","",Ford,was,to,receive,tributes,from,Bush,"","",who,designated,Tuesday,as,a,national,day,of,mourning,"","",along,with,former,Secretary,of,State,Henry,Kissinger,"","",President,George,H.W.,Bush,and,NBC,newsman,Tom,Brokaw,.}",32,3,28,2
46815@4_16-46815@4_8,46815@4,Rudolph W. Giuliani-John McCain,,0.008,"{There,were,more,Democrats,than,Republicans,-LRB-,Sen.,John,McCain,of,Arizona,was,in,Iraq,and,Rudolph,W.,Giuliani,"","",the,former,New,York,mayor,"","",was,not,campaigning,-RRB-,"","",but,both,parties,were,adequately,represented,.}",16,3,8,2
113216@1_59-113216@1_55,113216@1,Barack Obama-Hillary Rodham Clinton,f,0.23,"{The,black,leader,"","",Rep.,James,E.,Clyburn,"","",an,undeclared,superdelegate,from,South,Carolina,and,the,third-ranking,Democrat,in,the,House,"","",said,``,black,people,are,incensed,over,all,of,this,"","",'',referring,to,a,series,of,statements,that,Bill,Clinton,has,made,in,the,course,of,the,heated,race,between,Sens.,Hillary,Rodham,Clinton,and,Barack,Obama,.}",59,2,55,3
155761@37_13-155761@37_10,155761@37,Harry Potter-Lucius Malfoy,,0.054,"{Watch,it,if,only,to,see,British,actor,Isaacs,-LRB-,Lucius,Malfoy,in,Harry,Potter,-RRB-,affect,the,most,seamless,New,England,gangster,accent,you,'ve,heard,.}",13,2,10,2
eng-WL-105-174565-12930813_34_12-eng-WL-105-174565-12930813_34_15,eng-WL-105-174565-12930813_34,Kevin Federline-Shar Jackson,t,0.046,"{The,cast,of,misfits,"","",fame,wh,""\\*"",res,and,crazies,included,Kevin,Federline,"","",Shar,Jackson,and,Bobby,Brown,"","",just,to,name,a,few,.}",12,2,15,2
NYT_ENG_20070809.0128.LDC2009T13_1028_32-NYT_ENG_20070809.0128.LDC2009T13_1028_17,NYT_ENG_20070809.0128.LDC2009T13_1028,Alexia Landeau-Lukas,,0,"{WITH,:,Adam,Goldberg,-LRB-,Jack,-RRB-,"","",Julie,Delpy,-LRB-,Marion,-RRB-,"","",Daniel,Bruehl,-LRB-,Lukas,-RRB-,"","",Marie,Pillet,-LRB-,Anna,-RRB-,"","",Albert,Delpy,-LRB-,Jeannot,-RRB-,and,Alexia,Landeau,-LRB-,Rose,-RRB-,.}",32,2,17,1
APW_ENG_20080123.0438.LDC2009T13_44_54-APW_ENG_20080123.0438.LDC2009T13_44_21,APW_ENG_20080123.0438.LDC2009T13_44,Rod Laver Arena-Ana Ivanovic,,0.002,"{Three,of,the,eight,men,'s,and,women,'s,players,in,the,semifinals,at,the,Australian,Open,are,from,Serbia,:,Ana,Ivanovic,"","",who,ousted,Venus,Williams,7-6,-LRB-,3,-RRB-,"","",6-4,Wednesday,;,Novak,Djokovic,"","",a,6-0,"","",6-3,"","",7-5,winner,over,David,Ferrer,in,the,next,match,in,Rod,Laver,Arena,;,and,Jelena,Jankovic,"","",who,ousted,Serena,Williams,a,day,earlier,.}",54,3,21,2
93900@78_15-93900@78_55,93900@78,Prince Bernhard-Winston Churchill,,0.016,"{Overseas,"","",she,spoke,to,King,Baudouin,in,Brussels,"","",Belgium,"","",and,danced,with,Prince,Bernhard,in,The,Hague,;,she,dined,with,the,queen,of,England,and,the,king,of,Norway,at,Buckingham,Palace,;,she,visited,the,Churchills,at,their,country,home,"","",Chartwell,"","",and,accomplished,the,rare,feat,of,inducing,Winston,Churchill,to,surrender,one,of,his,paintings,to,her,.}",15,2,55,2
APW_ENG_20080817.0239.LDC2009T13_491_8-APW_ENG_20080817.0239.LDC2009T13_491_19,APW_ENG_20080817.0239.LDC2009T13_491,Martin Kirketerp Ibsen-Gianfranco Sibello,,0.008,"{The,Danish,49er,team,of,Jason,Warrer,and,Martin,Kirketerp,Ibsen,has,an,11-point,lead,on,Pietro,Sibello,and,Gianfranco,Sibello,of,Italy,"","",with,the,Australian,"","",Spanish,and,American,boats,close,behind,going,into,their,own,medal,race,on,Sunday,.}",8,3,19,2
NYT_ENG_20071024.0165.LDC2009T13_213_10-NYT_ENG_20071024.0165.LDC2009T13_213_0,NYT_ENG_20071024.0165.LDC2009T13_213,Adam-Campbell,,0.018,"{Campbell,said,she,does,n't,know,``,Garrison,Keillor,from,Adam,'s,house,cat,'',and,the,only,reason,she,reached,out,to,him,is,because,his,voice,brings,back,memories,of,her,departed,father,-,who,introduced,her,to,Keillor,'s,weekly,radio,broadcasts,when,she,was,9,.}",10,1,0,1
eng-WL-111-174636-12995820_335_8-eng-WL-111-174636-12995820_335_4,eng-WL-111-174636-12995820_335,Gallas-José Mourinho,,0.14,"{The,press,reported,that,José,Mourinho,was,furious,Gallas,had,been,allowed,to,move,to,their,rivals,Gallas,signed,a,four-year,contract,with,Arsenal,"","",where,he,took,the,number,10,shirt,vacated,by,the,recently-retired,Dennis,Bergkamp,.}",8,1,4,2
APW_ENG_20081202.0049.LDC2009T13_810_54-APW_ENG_20081202.0049.LDC2009T13_810_59,APW_ENG_20081202.0049.LDC2009T13_810,Dennehy-Pablo Schreiber,,0,"{Besides,``,Speed-the-Plow,"","",'',Richards,has,lined,up,an,all-star,revival,of,Noel,Coward,'s,``,Blithe,Spirit,"","",'',featuring,Lansbury,and,Everett,-LRB-,among,others,-RRB-,;,Ferrell,'s,Broadway,debut,in,a,one-man,show,"","",``,You,'re,Welcome,America,:,A,Final,Night,With,George,W.,Bush,'',;,Dennehy,"","",Carla,Gugino,and,Pablo,Schreiber,in,a,revival,of,Eugene,O'Neill,'s,``,Desire,Under,the,Elms,"","",'',and,``,reasons,to,be,pretty,'',by,film,maker,Neil,LaBute,.}",54,1,59,2
NYT_ENG_20080925.0141.LDC2009T13_115_30-NYT_ENG_20080925.0141.LDC2009T13_115_51,NYT_ENG_20080925.0141.LDC2009T13_115,Dalai Lama-Aung San Suu Kyi,,0.004,"{On,what,they,call,the,``,dark,anniversary,'',of,last,year,'s,Saffron,Revolution,"","",eight,Nobel,Peace,Prize,laureates,"","",including,Desmond,Tutu,of,South,Africa,and,the,Dalai,Lama,"","",have,called,for,``,true,democracy,'',in,Burma,"","",appealing,for,the,release,of,their,sister,laureate,Aung,San,Suu,Kyi,and,expressing,solidarity,with,all,people,``,yearning,for,freedom,in,a,nation,that,has,itself,become,a,prison,.,''}",30,2,51,4
eng-WL-11-174598-12965115_940_42-eng-WL-11-174598-12965115_940_15,eng-WL-11-174598-12965115_940,Eliza-Elsa Pataky,,0.002,"{Adrien,Brody,-LRB-,The,Jacket,and,loads,of,MK,movies,-RRB-,with,his,porcelain,kitten,Elsa,Pataky,-LRB-,Elsa,"","",El,is,a,Hebrew,name,for,god,and,the,name,literally,means,``,My,God,is,a,Vow,'',"","",similar,to,Eliza,etc,-RRB-,"","",a,Spanish,model,-LRB-,few,images,below,for,necessary,background,-RRB-,.}",42,1,15,2
AFP_ENG_20070719.0207.LDC2009T13_71_38-AFP_ENG_20070719.0207.LDC2009T13_71_20,AFP_ENG_20070719.0207.LDC2009T13_71,Rich Beem-Retief Goosen,,0,"{70,-,Gregory,Bourdy,-LRB-,FRA,-RRB-,"","",Rod,Pampling,-LRB-,AUS,-RRB-,"","",Thomas,Bjorn,-LRB-,DEN,-RRB-,"","",Retief,Goosen,-LRB-,RSA,-RRB-,"","",Carl,Pettersson,-LRB-,SWE,-RRB-,"","",JJ,Henry,-LRB-,USA,-RRB-,"","",Rich,Beem,-LRB-,USA,-RRB-,"","",Shaun,Micheel,-LRB-,USA,-RRB-,"","",Peter,Hanson,-LRB-,SWE,-RRB-}",38,2,20,2
NYT_ENG_20070503.0112.LDC2009T13_1048_35-NYT_ENG_20070503.0112.LDC2009T13_1048_46,NYT_ENG_20070503.0112.LDC2009T13_1048,David Wharnsby-Kathleen Climie,,0.026,"{Directed,by,Sarah,Polley,;,written,by,Polley,"","",based,on,the,short,story,``,The,Bear,Came,Over,the,Mountain,'',by,Alice,Munro,;,director,of,photography,"","",Luc,Montpellier,;,edited,by,David,Wharnsby,;,music,by,Jonathan,Goldsmith,;,production,designer,"","",Kathleen,Climie,;,produced,by,Daniel,Iron,"","",Simone,Urdl,and,Jennifer,Weiss,;,released,by,Lionsgate,.}",35,2,46,2
NYT_ENG_20070619.0022.LDC2009T13_9_4-NYT_ENG_20070619.0022.LDC2009T13_9_41,NYT_ENG_20070619.0022.LDC2009T13_9,Bard-Andy Warhol,,0,"{For,six,decades,the,Bard,family,has,managed,the,Hotel,Chelsea,"","",overseeing,a,bohemian,enclave,that,has,been,a,long-term,home,for,writers,"","",artists,and,musicians,including,Mark,Twain,"","",O.,Henry,"","",Tennessee,Williams,"","",Dylan,Thomas,"","",Andy,Warhol,"","",and,Sid,Vicious,and,Nancy,Spungen,.}",4,1,41,2
APW_ENG_20070723.1127.LDC2009T13_48_9-APW_ENG_20070723.1127.LDC2009T13_48_33,APW_ENG_20070723.1127.LDC2009T13_48,Veronica Porsche Anderson-Leilani,,0,"{Guests,included,Ali,'s,parents,"","",Muhammad,Ali,and,Veronica,Porsche,Anderson,;,her,sister,Hana,Ali,;,Conway,'s,12-year-old,twin,sons,"","",Cameron,and,Kelton,;,and,his,8-year-old,daughter,"","",Leilani,"","",People,magazine,reported,on,its,Web,site,.}",9,3,33,1
