person1_id,person2_id,sentence_id,description,is_true,relation_id,id
145338@42_14,145338@42_3,145338@42,Michelle Obama-Barack Obama,t,145338@42_14-145338@42_3,22846
90365@31_16,90365@31_7,90365@31,Jeanne Shaheen-Bill Shaheen,t,90365@31_16-90365@31_7,52821
146331@40_8,146331@40_3,146331@40,Bill Clinton-Hillary Rodham Clinton,t,146331@40_8-146331@40_3,18480
143008@34_10,143008@34_13,143008@34,Lucille Ball-Desi Arnaz,t,143008@34_10-143008@34_13,37610
90852@66_33,90852@66_28,90852@66,Tom Cruise-Katie Holmes,t,90852@66_33-90852@66_28,17412
70309@30_6,70309@30_3,70309@30,Niki Tsongas-Paul Tsongas,t,70309@30_6-70309@30_3,66407
98481@18_45,98481@18_9,98481@18,Bill Clinton-Hillary Rodham Clinton,t,98481@18_45-98481@18_9,38421
120127@12_14,120127@12_21,120127@12,Salman Rushdie-Padma Lakshmi,t,120127@12_14-120127@12_21,51226
12482@26_46,12482@26_35,12482@26,Marilyn Manson-Dita Von Teese,t,12482@26_46-12482@26_35,996
47550@27_40,47550@27_44,47550@27,William H. Macy-Felicity Huffman,t,47550@27_40-47550@27_44,45883
13241@16_0,13241@16_19,13241@16,Ann Romney-Mitt Romney,t,13241@16_0-13241@16_19,27901
15746@47_11,15746@47_14,15746@47,Tom Cruise-Nicole Kidman,t,15746@47_11-15746@47_14,245
48759@14_20,48759@14_17,48759@14,Rosalynn Carter-Jimmy Carter,t,48759@14_20-48759@14_17,62049
43779@0_36,43779@0_24,43779@0,Daniel Pearl-Mariane Pearl,t,43779@0_36-43779@0_24,63927
132459@10_14,132459@10_21,132459@10,Cindy McCain-John McCain,t,132459@10_14-132459@10_21,57418
16921@14_9,16921@14_3,16921@14,Mitt Romney-Ann Romney,t,16921@14_9-16921@14_3,26698
32196@33_10,32196@33_43,32196@33,Sarah Polley-David Wharnsby,t,32196@33_10-32196@33_43,26883
38947@0_49,38947@0_36,38947@0,Leslie Mann-Judd Apatow,t,38947@0_49-38947@0_36,30840
23588@13_19,23588@13_16,23588@13,Will Arnett-Amy Poehler,t,23588@13_19-23588@13_16,2187
80663@17_28,80663@17_24,80663@17,Sharman Macdonald-Will Knightley,t,80663@17_28-80663@17_24,7226
85861@10_10,85861@10_41,85861@10,Bill Clinton-Hillary Rodham Clinton,t,85861@10_10-85861@10_41,34775
84036@0_41,84036@0_18,84036@0,Hillary Rodham Clinton-Bill Clinton,t,84036@0_41-84036@0_18,49607
152854@6_24,152854@6_39,152854@6,Hillary Rodham Clinton-Bill Clinton,t,152854@6_24-152854@6_39,58461
50714@17_10,50714@17_13,50714@17,Richard Burton-Elizabeth Taylor,t,50714@17_10-50714@17_13,5223
71715@47_11,71715@47_7,71715@47,Dorothy Howell Rodham-Hugh E. Rodham,t,71715@47_11-71715@47_7,12298
93044@19_7,93044@19_18,93044@19,Ryan Reynolds-Scarlett Johansson,t,93044@19_7-93044@19_18,36093
15238@9_23,15238@9_26,15238@9,Hilary Swank-Chad Lowe,t,15238@9_23-15238@9_26,27223
24520@2_21,24520@2_1,24520@2,Chris Evert-Greg Norman,t,24520@2_21-24520@2_1,61759
50128@12_12,50128@12_1,50128@12,Jane Fonda-Tom Hayden,t,50128@12_12-50128@12_1,44580
14949@6_10,14949@6_32,14949@6,Hillary Rodham Clinton-Bill Clinton,t,14949@6_10-14949@6_32,42769
152007@28_17,152007@28_6,152007@28,Oscar Goodman-Carolyn Goodman,t,152007@28_17-152007@28_6,74522
89851@1_37,89851@1_8,89851@1,Bill Clinton-Hillary Rodham Clinton,t,89851@1_37-89851@1_8,38158
