relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
APW_ENG_20070423.0071.LDC2009T13_219_16-APW_ENG_20070423.0071.LDC2009T13_219_0,APW_ENG_20070423.0071.LDC2009T13_219,Duesser-Meredith Michaels-Beerbaum,,0.94,"{Meredith,Michaels-Beerbaum,"","",who,is,married,to,third-place,finisher,Markus,Beerbaum,"","",started,Sunday,tied,with,Duesser,with,a,zero,score,.}",16,1,0,2,2,"{word_between=married,num_words_between=14,word_between=started,""word_between=,"",word_between=tied,word_between=who}","{3.2971,-2.22992,1.56712,-1.47517,-1.30059,0.783272}"
AFP_ENG_20081215.0748.LDC2009T13_424_30-AFP_ENG_20081215.0748.LDC2009T13_424_20,AFP_ENG_20081215.0748.LDC2009T13_424,Benazir Bhutto-Asif Ali Zardari,t,0.99,"{Bush,said,Washington,was,working,with,Pakistan,to,halt,cross,-,border,strikes,in,Afghanistan,"","",and,praised,Pakistani,President,Asif,Ali,Zardari,"","",the,widower,of,slain,former,premier,Benazir,Bhutto,"","",as,``,determined,'',to,help,.}",30,2,20,3,3,"{word_between=widower,num_words_between=7,""word_between=,"",word_between=slain,word_between=premier,word_between=the}","{5.52359,-1.67476,-1.47517,0.833935,0.497517,0.392294}"
154431@2_16-154431@2_2,154431@2,Sonny Bono-Mary Bono Mack,,0.976,"{U.S.,Rep.,Mary,Bono,Mack,"","",R-Calif.,"","",wife,of,the,younger,Mack,and,widow,of,Sonny,Bono,Former,Republican,Gov.,Bob,Martinez,Roberto,Martinez,"","",former,U.S.,attorney,from,Miami,Attorney,General,Bill,McCollum,John,McKay,"","",former,Senate,president,Vivian,Myrtetus,"","",Crist,'s,former,communications,director,Chris,and,Fay,Nielsen,"","",longtime,St.,Petersburg,residents,and,philanthropists,Ken,Pruitt,"","",former,Senate,president,David,Rancourt,"","",Tallahassee,lobbyist,Jim,Rimes,"","",GOP,executive,director,Geraldo,Rivera,"","",Fox,newsman,-LRB-,Crist,came,to,his,mother,'s,85th,birthday,-RRB-,State,Rep.,Darryl,Rouson,and,wife,"","",Angela,Harry,Sargeant,III,"","",a,Boca,Raton,businessman,and,Republican,fundraiser,Jim,Scott,"","",former,Senate,president,Brent,and,Debbie,Sembler,"","",Pinellas,Park,Kathleen,Shanahan,"","",former,chief,of,staff,for,Gov.,Jeb,Bush,and,Vice,President,Dick,Cheney,Matt,Silverman,"","",Tampa,Bay,Rays,president,Gus,Stavros,"","",founder,of,the,Pinellas,Education,Foundation,Stuart,Sternberg,"","",Tampa,Bay,Rays,principal,owner,John,Stross,"","",real,estate,developer,"","",owner,of,Leverock,'s,restaurant,St.,Petersburg,Times,chairman,"","",CEO,and,editor,Paul,Tash,and,wife,"","",Karyn,"","",St.,Petersburg,Carl,Troup,"","",governor,'s,barber,U.S.,Rep.,Robert,Wexler,"","",D-Boca,Raton,Jill,Zarin,"","",friend,of,Rome,and,cast,member,of,the,Bravo,television,series,The,Real,Housewives,of,New,York,City}",16,2,2,3,3,"{word_between=widow,word_between=wife,word_between=R-Calif.,""word_between=,"",num_words_between=11,word_between=younger}","{4.17536,4.08982,-1.5769,-1.47517,-1.24578,-0.692531}"
AFP_ENG_20081016.0268.LDC2009T13_558_8-AFP_ENG_20081016.0268.LDC2009T13_558_0,AFP_ENG_20081016.0268.LDC2009T13_558,Hosni Mubarak-Suzanne Mubarak,t,0.956,"{Suzanne,Mubarak,"","",the,wife,of,Egyptian,President,Hosni,Mubarak,who,was,honored,with,the,title,of,``,patron,'',of,FAO,'s,activities,"","",echoed,Diouf,'s,concern,in,a,keynote,speech,"","",saying,``,falling,stock,markets,have,monopolised,the,world,'s,attention,"","",turning,it,away,from,the,poorest,countries,.,''}",8,2,0,2,2,"{word_between=wife,""word_between=,"",num_words_between=6,word_between=President,potential_last_name_match,word_between=the}","{4.08982,-1.47517,-1.26404,0.936406,-0.521727,0.392294}"
NYT_ENG_20080302.0055.LDC2009T13_435_6-NYT_ENG_20080302.0055.LDC2009T13_435_43,NYT_ENG_20080302.0055.LDC2009T13_435,Casey Wasserman-David Stern,,0.936,"{Clinton,donors,include,L.A.,Avengers,owner,Casey,Wasserman,"","",who,has,given,more,than,$,""70,000"",this,election,cycle,alone,to,mostly,Democratic,candidates,;,hockey,legend,Mario,Lemieux,;,Los,Angeles,Dodgers,president,Jamie,McCourt,and,owner,Frank,McCourt,;,NBA,commissioner,David,Stern,;,and,Red,Sox,executive,Larry,Lucchino,.}",6,2,43,2,2,"{word_between=election,word_between=;,word_between=hockey,word_between=alone,word_between=Frank,num_words_between=35}","{3.86405,-3.27048,2.87993,2.36423,-2.34691,-1.89372}"
eng-WL-107-174567-12932188_13_4-eng-WL-107-174567-12932188_13_0,eng-WL-107-174567-12932188_13,Guy Ritchie-Madonna,t,0.988,"{Madonna,and,her,hubby,Guy,Ritchie,were,seen,here,all,blinged,out,gangsta,style,for,the,Rocknrolla,UK,Film,premiere,after,party,at,the,Almada,in,Dover,Stree,in,the,UK,last,night,.}",4,2,0,1,1,"{word_between=hubby,num_words_between=3,word_between=her,word_between=and}","{4.37941,-0.912485,0.632033,0.569635}"
eng-WL-11-174592-12942427_12_47-eng-WL-11-174592-12942427_12_0,eng-WL-11-174592-12942427_12,Tony Parker-Wisteria Lane,,0.994,"{Wisteria,Lane,'s,vixen,Gaby,Solis,is,getting,married,on,tomorrow,night,'s,3rd,season,finale,of,``,Desperate,Housewives,'',on,ABC,and,per,Eva,Longoria,'s,request,"","",the,wedding,will,be,the,exact,opposite,of,the,actress,',real-life,July,wedding,to,basketball,star,Tony,Parker,in,Paris,.}",47,2,0,2,2,"{word_between=married,word_between=season,word_between=wedding,num_words_between=45,word_between=Eva,word_between=getting}","{3.2971,-2.43867,2.23027,-1.93318,-1.7249,1.66701}"
NYT_ENG_20071104.0028.LDC2009T13_513_3-NYT_ENG_20071104.0028.LDC2009T13_513_40,NYT_ENG_20071104.0028.LDC2009T13_513,Jessica Seinfeld-Jerry Seinfeld,t,0.98,"{Last,week,"","",Jessica,Seinfeld,agreed,"","",grudgingly,"","",to,be,interviewed,about,some,of,the,events,that,have,defined,her,public,image,and,that,surfaced,again,as,strong,sales,of,her,book,coincided,with,the,opening,last,week,of,Jerry,Seinfeld,'s,``,Bee,Movie,.,''}",3,2,40,2,2,"{word_between=image,num_words_between=35,""word_between=,"",word_between=agreed,word_between=surfaced,word_between=interviewed}","{2.43872,-1.89372,-1.47517,1.40763,-1.14378,-1.08421}"
eng-WL-110-174612-12990444_16_17-eng-WL-110-174612-12990444_16_36,eng-WL-110-174612-12990444_16,Janet Jackson-Jermaine Dupri,t,1,"{In,addition,to,roping,in,Jimmy,Jam,&,Terry,Lewis,and,Rodney,``,Darkchild,'',Jerkins,"","",Janet,Jackson,'s,as-yet-untitled,next,album,on,A&M,""\\/"",Interscope,Records,will,boast,additional,productions,and,songwriting,contributions,from,Jermaine,Dupri,and,Bryan,Michael,Cox,.}",17,2,36,2,2,"{""word_between=\\/"",num_words_between=17,word_between=next,word_between=album,word_between=Records,word_between=songwriting}","{2.39776,-2.1044,1.69162,1.49542,1.3697,-0.975878}"
eng-WL-11-174595-12968088_430_53-eng-WL-11-174595-12968088_430_26,eng-WL-11-174595-12968088_430,Bobby Brown-Whitney Houston,t,0.994,"{As,far,as,celebrity,yard,sales,auctions,go,"","",I,must,say,that,I,find,myself,intrigued,-LRB-,altho,it,is,a,little,sad,-RRB-,that,Whitney,Houston,is,putting,a,bunch,of,her,personal,items,on,the,auction,block,to,raise,money,to,pay,for,unpaid,storage,fees,...,sounds,like,hubby,Bobby,Brown,has,been,lax,in,paying,off,those,bills,of,hers,.}",53,2,26,2,2,"{word_between=hubby,num_words_between=25,word_between=pay,word_between=auction,word_between=money,word_between=personal}","{4.37941,-2.64241,1.97687,1.30435,-1.02926,1.00736}"
