person1_id,person2_id,sentence_id,description,is_true,relation_id,id
eng-NG-31-100674-11205341_272_4,eng-NG-31-100674-11205341_272_10,eng-NG-31-100674-11205341_272,Ava Gardner-Frank Sinatra,t,eng-NG-31-100674-11205341_272_4-eng-NG-31-100674-11205341_272_10,106895
NYT_ENG_20071004.0172.LDC2009T13_727_19,NYT_ENG_20071004.0172.LDC2009T13_727_27,NYT_ENG_20071004.0172.LDC2009T13_727,Noah Baumbach-Jennifer Jason Leigh,t,NYT_ENG_20071004.0172.LDC2009T13_727_19-NYT_ENG_20071004.0172.LDC2009T13_727_27,208219
eng-NG-31-142878-10102563_276_16,eng-NG-31-142878-10102563_276_14,eng-NG-31-142878-10102563_276,Leah-Jacob,t,eng-NG-31-142878-10102563_276_16-eng-NG-31-142878-10102563_276_14,262569
eng-WL-11-174595-12967481_1501_4,eng-WL-11-174595-12967481_1501_0,eng-WL-11-174595-12967481_1501,Ellen DeGeneres-Portia de Rossi,t,eng-WL-11-174595-12967481_1501_4-eng-WL-11-174595-12967481_1501_0,251461
NYT_ENG_20071223.0143.LDC2009T13_329_21,NYT_ENG_20071223.0143.LDC2009T13_329_24,NYT_ENG_20071223.0143.LDC2009T13_329,Ethel Kennedy-Robert F. Kennedy,t,NYT_ENG_20071223.0143.LDC2009T13_329_21-NYT_ENG_20071223.0143.LDC2009T13_329_24,35798
eng-WL-107-174567-12931926_16_3,eng-WL-107-174567-12931926_16_0,eng-WL-107-174567-12931926_16,Marc Anthony-Jennifer Lopez,t,eng-WL-107-174567-12931926_16_3-eng-WL-107-174567-12931926_16_0,68822
eng-WL-11-174597-12966250_5_0,eng-WL-11-174597-12966250_5_3,eng-WL-11-174597-12966250_5,Maggie Gyllenhaal-Peter Sarsgaard,t,eng-WL-11-174597-12966250_5_0-eng-WL-11-174597-12966250_5_3,188998
eng-NG-31-145805-10295565_21_1,eng-NG-31-145805-10295565_21_5,eng-NG-31-145805-10295565_21,Pamela Anderson-Rick Salomon,t,eng-NG-31-145805-10295565_21_1-eng-NG-31-145805-10295565_21_5,123246
APW_ENG_20070830.0846.LDC2009T13_135_17,APW_ENG_20070830.0846.LDC2009T13_135_8,APW_ENG_20070830.0846.LDC2009T13_135,Chris Rawlinson-Jana Pittman,t,APW_ENG_20070830.0846.LDC2009T13_135_17-APW_ENG_20070830.0846.LDC2009T13_135_8,6873
APW_ENG_20070423.0955.LDC2009T13_90_28,APW_ENG_20070423.0955.LDC2009T13_90_19,APW_ENG_20070423.0955.LDC2009T13_90,Craig Hatkoff-Jane Rosenthal,t,APW_ENG_20070423.0955.LDC2009T13_90_28-APW_ENG_20070423.0955.LDC2009T13_90_19,281947
eng-NG-31-142817-10100157_690_1,eng-NG-31-142817-10100157_690_3,eng-NG-31-142817-10100157_690,Abraham-Sarah,t,eng-NG-31-142817-10100157_690_1-eng-NG-31-142817-10100157_690_3,289313
