person1_id,person2_id,sentence_id,description,is_true,relation_id,id
106443@11_8,106443@11_14,106443@11,David Paterson-Michelle Paige Paterson,t,106443@11_8-106443@11_14,36262
73607@25_6,73607@25_19,73607@25,Imran Khan-Jemima Khan,t,73607@25_6-73607@25_19,33581
126687@3_9,126687@3_15,126687@3,Deanna Favre-Brett Favre,t,126687@3_9-126687@3_15,54645
119170@0_2,119170@0_21,119170@0,Hillary Rodham Clinton-Bill Clinton,t,119170@0_2-119170@0_21,71051
149111@26_4,149111@26_19,149111@26,Carl Bernstein-Nora Ephron,t,149111@26_4-149111@26_19,19648
60052@32_14,60052@32_5,60052@32,Ashton Kutcher-Demi Moore,t,60052@32_14-60052@32_5,53851
33268@15_16,33268@15_11,33268@15,Paul Tsongas-Niki Tsongas,t,33268@15_16-33268@15_11,2017
90175@13_20,90175@13_14,90175@13,Maria Shriver-Arnold Schwarzenegger,t,90175@13_20-90175@13_14,16827
60619@4_40,60619@4_8,60619@4,Niki Tsongas-Paul Tsongas,t,60619@4_40-60619@4_8,35623
72053@7_0,72053@7_12,72053@7,Bill Clinton-Hillary Rodham Clinton,t,72053@7_0-72053@7_12,32289
32654@5_5,32654@5_9,32654@5,Richard Burton-Elizabeth Taylor,t,32654@5_5-32654@5_9,42943
40565@22_18,40565@22_37,40565@22,Dita Von Teese-Marilyn Manson,t,40565@22_18-40565@22_37,7449
154321@24_21,154321@24_18,154321@24,Carole Rome-Charlie Crist,t,154321@24_21-154321@24_18,73327
64833@1_26,64833@1_33,64833@1,Kyra Sedgwick-Kevin Bacon,t,64833@1_26-64833@1_33,66587
40044@4_0,40044@4_3,40044@4,Tera Patrick-Evan Seinfeld,t,40044@4_0-40044@4_3,64022
87201@11_13,87201@11_21,87201@11,Michael C. Hall-Jennifer Carpenter,t,87201@11_13-87201@11_21,10310
133291@80_3,133291@80_11,133291@80,Sarah Palin-Todd Palin,t,133291@80_3-133291@80_11,52539
59766@28_21,59766@28_1,59766@28,Barack Obama-Michelle Obama,t,59766@28_21-59766@28_1,5252
71976@35_34,71976@35_37,71976@35,Tom Cruise-Katie Holmes,t,71976@35_34-71976@35_37,35547
120127@12_14,120127@12_21,120127@12,Salman Rushdie-Padma Lakshmi,t,120127@12_14-120127@12_21,51418
58364@55_25,58364@55_39,58364@55,Michelle Obama-Barack Obama,t,58364@55_25-58364@55_39,30820
32766@56_13,32766@56_0,32766@56,Phil Bronstein-Sharon Stone,t,32766@56_13-32766@56_0,46347
87691@2_9,87691@2_0,87691@2,Mitt Romney-Ann Romney,t,87691@2_9-87691@2_0,69303
15900@15_0,15900@15_12,15900@15,Adrianne Curry-Christopher Knight,t,15900@15_0-15900@15_12,43378
30332@31_4,30332@31_1,30332@31,Katie Holmes-Tom Cruise,t,30332@31_4-30332@31_1,59825
1556@5_4,1556@5_7,1556@5,John Kerry-Teresa Heinz,t,1556@5_4-1556@5_7,2112
147148@13_18,147148@13_11,147148@13,Hillary Rodham Clinton-Bill Clinton,t,147148@13_18-147148@13_11,42633
12747@76_18,12747@76_14,12747@76,Ethel Skakel Kennedy-Robert F. Kennedy,t,12747@76_18-12747@76_14,44657
17305@1_45,17305@1_18,17305@1,Bill Clinton-Hillary Rodham Clinton,t,17305@1_45-17305@1_18,61898
839@25_9,839@25_0,839@25,Tony Blair-Cherie Blair,t,839@25_9-839@25_0,59295
72053@5_15,72053@5_7,72053@5,John McCain-Cindy McCain,t,72053@5_15-72053@5_7,65229
9170@1_24,9170@1_6,9170@1,Marie Whitney-Theo Epstein,t,9170@1_24-9170@1_6,27831
98795@3_29,98795@3_21,98795@3,Asif Ali Zardari-Benazir Bhutto,t,98795@3_29-98795@3_21,38031
38948@7_13,38948@7_37,38948@7,Elisabeth Shue-Davis Guggenheim,t,38948@7_13-38948@7_37,7263
134317@2_25,134317@2_10,134317@2,Sarah Palin-Todd Palin,t,134317@2_25-134317@2_10,53775
4484@33_17,4484@33_14,4484@33,Lauren Bacall-Jason Robards,t,4484@33_17-4484@33_14,59586
35676@0_8,35676@0_16,35676@0,Bill Clinton-Hillary Rodham Clinton,t,35676@0_8-35676@0_16,4041
77620@29_0,77620@29_20,77620@29,Kelly Macdonald-Dougie Payne,t,77620@29_0-77620@29_20,33983
81278@28_14,81278@28_19,81278@28,Lynn Fontanne-Alfred Lunt,t,81278@28_14-81278@28_19,34462
46984@31_0,46984@31_7,46984@31,Will Smith-Jada Pinkett Smith,t,46984@31_0-46984@31_7,44365
23278@22_19,23278@22_13,23278@22,Will Arnett-Amy Poehler,t,23278@22_19-23278@22_13,46103
154015@16_0,154015@16_5,154015@16,Rhea Chiles-Lawton Chiles,t,154015@16_0-154015@16_5,70419
33100@11_15,33100@11_0,33100@11,Leo Beckett-Margaret Beckett,t,33100@11_15-33100@11_0,29921
116291@18_12,116291@18_24,116291@18,Tom Cruise-Katie Holmes,t,116291@18_12-116291@18_24,38312
89851@1_37,89851@1_8,89851@1,Bill Clinton-Hillary Rodham Clinton,t,89851@1_37-89851@1_8,38354
89548@0_6,89548@0_12,89548@0,Michelle Robinson-Barack Obama,t,89548@0_6-89548@0_12,13448
113255@1_42,113255@1_55,113255@1,Bill Clinton-Hillary Rodham Clinton,t,113255@1_42-113255@1_55,18532
93504@0_25,93504@0_1,93504@0,Bill Clinton-Hillary Rodham Clinton,t,93504@0_25-93504@0_1,66355
62225@8_32,62225@8_29,62225@8,Hillary Rodham Clinton-Bill Clinton,t,62225@8_32-62225@8_29,10967
55269@31_6,55269@31_38,55269@31,Hillary Rodham Clinton-Bill Clinton,t,55269@31_6-55269@31_38,46212
114654@27_43,114654@27_1,114654@27,Megan Ambuhl-Charles Graner,t,114654@27_43-114654@27_1,39779
32654@46_8,32654@46_11,32654@46,Elizabeth Taylor-Richard Burton,t,32654@46_8-32654@46_11,64146
70457@28_22,70457@28_31,70457@28,Ed Harris-Amy Madigan,t,70457@28_22-70457@28_31,37907
80874@26_0,80874@26_31,80874@26,BILL CLINTON-Hillary Rodham Clinton,t,80874@26_0-80874@26_31,65503
133834@11_42,133834@11_39,133834@11,Richard Burton-Elizabeth Taylor,t,133834@11_42-133834@11_39,53025
24079@23_3,24079@23_0,24079@23,Richie Aprile-Janice Soprano,t,24079@23_3-24079@23_0,43963
1986@13_26,1986@13_2,1986@13,Hillary Rodham Clinton-Bill Clinton,t,1986@13_26-1986@13_2,45821
128788@0_5,128788@0_10,128788@0,Charlie Crist-Carole Rome,t,128788@0_5-128788@0_10,55308
86603@10_21,86603@10_16,86603@10,Hema Malini-Dharmendra,t,86603@10_21-86603@10_16,51896
32766@54_23,32766@54_0,32766@54,Caroline Fentress-Chris O'Donnell,t,32766@54_23-32766@54_0,63145
112380@0_13,112380@0_7,112380@0,Scarlett O'Hara-Rhett Butler,t,112380@0_13-112380@0_7,52361
38725@0_20,38725@0_55,38725@0,Leslie Mann-Judd Apatow,t,38725@0_20-38725@0_55,8519
157414@18_24,157414@18_0,157414@18,Harry S. Truman-Bess Truman,t,157414@18_24-157414@18_0,58345
47665@43_11,47665@43_17,47665@43,Hillary Rodham Clinton-Bill Clinton,t,47665@43_11-47665@43_17,7340
152007@28_17,152007@28_6,152007@28,Oscar Goodman-Carolyn Goodman,t,152007@28_17-152007@28_6,74523
90019@31_2,90019@31_44,90019@31,Bill Clinton-Hillary Rodham Clinton,t,90019@31_2-90019@31_44,68726
47271@61_43,47271@61_20,47271@61,Hillary Rodham Clinton-Bill Clinton,t,47271@61_43-47271@61_20,29968
37390@0_3,37390@0_7,37390@0,Bill Clinton-Hillary Rodham Clinton,t,37390@0_3-37390@0_7,30342
96216@14_26,96216@14_5,96216@14,Robert Six-Audrey Meadows,t,96216@14_26-96216@14_5,69241
113853@22_2,113853@22_22,113853@22,Hillary Rodham Clinton-Bill Clinton,t,113853@22_2-113853@22_22,18274
108775@47_42,108775@47_31,108775@47,Brad Pitt-Jennifer Aniston,t,108775@47_42-108775@47_31,68904
