person1_id,person2_id,sentence_id,description,is_true,relation_id,id
111256@29_1,111256@29_21,111256@29,Deschanel-Mary Jo Deschanel,f,111256@29_1-111256@29_21,52698
2190@22_22,2190@22_5,2190@22,Harry-Harry Potter,f,2190@22_22-2190@22_5,2626
80874@0_34,80874@0_16,80874@0,Obama-Barack Obama,f,80874@0_34-80874@0_16,47726
38746@0_16,38746@0_4,38746@0,Davis Guggenheim-Davis Guggenheim Written,f,38746@0_16-38746@0_4,46550
135781@26_20,135781@26_1,135781@26,Obama-Obama,f,135781@26_20-135781@26_1,18187
12747@76_0,12747@76_14,12747@76,Douglas Harriman Kennedy-Robert F. Kennedy,f,12747@76_0-12747@76_14,44654
149548@14_0,149548@14_19,149548@14,Cedric-Cedric,f,149548@14_0-149548@14_19,18293
132400@9_33,132400@9_6,132400@9,Obama-Obama,f,132400@9_33-132400@9_6,70839
99766@26_24,99766@26_10,99766@26,McCain-McCain,f,99766@26_24-99766@26_10,35901
79423@0_39,79423@0_11,79423@0,Sharif-Nawaz Sharif,f,79423@0_39-79423@0_11,33541
142009@12_0,142009@12_44,142009@12,Todd Palin-Palin,f,142009@12_0-142009@12_44,16755
133767@2_2,133767@2_13,133767@2,Bush-Laura Bush,f,133767@2_2-133767@2_13,53946
135441@22_12,135441@22_41,135441@22,Ethan Coen-Joel Coen,f,135441@22_12-135441@22_41,15728
132638@25_22,132638@25_11,132638@25,McCain-McCain,f,132638@25_22-132638@25_11,18336
92870@29_3,92870@29_38,92870@29,Obama-Obama,f,92870@29_3-92870@29_38,70704
147048@93_47,147048@93_38,147048@93,Paul-Paul,f,147048@93_47-147048@93_38,42620
70781@0_29,70781@0_25,70781@0,Ben-Ben,f,70781@0_29-70781@0_25,49206
80874@1_34,80874@1_5,80874@1,Obama-Obama,f,80874@1_34-80874@1_5,65289
38740@25_28,38740@25_18,38740@25,Hagen-Walter Hagen,f,38740@25_28-38740@25_18,67172
95208@11_12,95208@11_24,95208@11,Bill Clinton-Clinton,f,95208@11_12-95208@11_24,53129
35686@2_20,35686@2_35,35686@2,Obama-Obama,f,35686@2_20-35686@2_35,5368
90365@10_6,90365@10_22,90365@10,Clinton-Clinton,f,90365@10_6-90365@10_22,52937
149761@38_30,149761@38_24,149761@38,Denise Rich-Rich,f,149761@38_30-149761@38_24,41241
148159@1_29,148159@1_6,148159@1,Obama-Obama,f,148159@1_29-148159@1_6,70686
43779@1_20,43779@1_6,43779@1,Daniel-Daniel,f,43779@1_20-43779@1_6,6228
65608@21_29,65608@21_19,65608@21,Clinton-Bill Clinton,f,65608@21_29-65608@21_19,66756
64529@137_2,64529@137_5,64529@137,Robert Redford-Robert Redford,f,64529@137_2-64529@137_5,35524
279@26_10,279@26_14,279@26,Kennedy-Kennedy,f,279@26_10-279@26_14,43097
121716@2_55,121716@2_8,121716@2,McCain-McCain,f,121716@2_55-121716@2_8,72164
154321@0_21,154321@0_12,154321@0,Salisbury-Lex Salisbury,f,154321@0_21-154321@0_12,41181
124879@15_24,124879@15_6,124879@15,Bush-Bush,f,124879@15_24-124879@15_6,17912
84892@5_57,84892@5_0,84892@5,Hillary Clinton-Hillary Clinton,f,84892@5_57-84892@5_0,34663
135670@1_10,135670@1_24,135670@1,Zardari-Zardari,f,135670@1_10-135670@1_24,68957
150797@3_14,150797@3_27,150797@3,Obama-Barack Obama,f,150797@3_14-150797@3_27,57440
133318@10_38,133318@10_0,133318@10,McCain-McCain,f,133318@10_38-133318@10_0,18088
32740@11_0,32740@11_4,32740@11,Gleason-Reggie Van Gleason,f,32740@11_0-32740@11_4,4816
61971@6_35,61971@6_2,61971@6,Gonzales-Gonzales,f,61971@6_35-61971@6_2,65783
132638@23_22,132638@23_0,132638@23,Clinton-Clinton,f,132638@23_22-132638@23_0,73006
153636@19_4,153636@19_32,153636@19,Farrell-Farrell,f,153636@19_4-153636@19_32,42130
135781@18_18,135781@18_0,135781@18,Hillary Rodham Clinton-Clinton,f,135781@18_18-135781@18_0,72707
90019@31_60,90019@31_44,90019@31,Clinton-Hillary Rodham Clinton,f,90019@31_60-90019@31_44,68734
95331@65_22,95331@65_8,95331@65,John Quincy Adams-John Adams II,f,95331@65_22-95331@65_8,36346
124351@50_15,124351@50_18,124351@50,Jonathan Nolan-Christopher Nolan,f,124351@50_15-124351@50_18,17653
148159@14_6,148159@14_11,148159@14,Obama-Michelle Obama,f,148159@14_6-148159@14_11,54005
134653@32_50,134653@32_60,134653@32,Yasujiro Ozu-Ozu,f,134653@32_50-134653@32_60,39748
16149@12_8,16149@12_0,16149@12,Denise Rich-Rich,f,16149@12_8-16149@12_0,170
140236@103_30,140236@103_17,140236@103,Dylan-Bob Dylan,f,140236@103_30-140236@103_17,17201
