relation_id,feature
NYT_ENG_20080417.0140.LDC2009T13_615_31-NYT_ENG_20080417.0140.LDC2009T13_615_7,"INV_NGRAM_1_[,]"
NYT_ENG_20080501.0158.LDC2009T13_1512_51-NYT_ENG_20080501.0158.LDC2009T13_1512_28,IS_INVERTED
eng-WL-11-174595-12968065_1168_0-eng-WL-11-174595-12968065_1168_12,NGRAM_3_[the restless -rrb-]
NYT_ENG_20080205.0172.LDC2009T13_223_17-NYT_ENG_20080205.0172.LDC2009T13_223_26,W_LEMMA_L_2_R_3_[amp ;]_[home he share]
AFP_ENG_20071115.0411.LDC2009T13_44_30-AFP_ENG_20071115.0411.LDC2009T13_44_16,INV_W_NER_L_2_R_3_[O TITLE]_[O PERSON PERSON]
APW_ENG_20080805.0807.LDC2009T13_164_12-APW_ENG_20080805.0807.LDC2009T13_164_19,BETW_L_[dep prep_of]
eng-WL-11-174592-12941426_163_4-eng-WL-11-174592-12941426_163_7,W_LEMMA_L_3_R_2_[show 's producer]_[decide to]
NYT_ENG_20080112.0111.LDC2009T13_66_4-NYT_ENG_20080112.0111.LDC2009T13_66_13,NGRAM_2_[and Mike]
eng-WL-11-174594-12963908_8_18-eng-WL-11-174594-12963908_8_25,WORD_SEQ_[just married the movie executive]
NYT_ENG_20070226.0152.LDC2009T13_612_28-NYT_ENG_20070226.0152.LDC2009T13_612_0,INV_NGRAM_3_[season and replace]
AFP_ENG_20080523.0174.LDC2009T13_271_7-AFP_ENG_20080523.0174.LDC2009T13_271_26,NGRAM_3_[Keane and defender]
LTW_ENG_20080517.0068.LDC2009T13_341_53-LTW_ENG_20080517.0068.LDC2009T13_341_0,INV_NGRAM_3_[by mexican telecommunications]
APW_ENG_20080223.0069.LDC2009T13_268_32-APW_ENG_20080223.0069.LDC2009T13_268_21,"INV_W_LEMMA_L_3_R_3_[Casey Mears ,]_['s _NUMBER point]"
NYT_ENG_20071206.0191.LDC2009T13_883_42-NYT_ENG_20071206.0191.LDC2009T13_883_12,"INV_W_LEMMA_L_1_R_1_[,]_[and]"
NYT_ENG_20081219.0019.LDC2009T13_674_30-NYT_ENG_20081219.0019.LDC2009T13_674_6,INV_NGRAM_2_[on report]
APW_ENG_20071114.0632.LDC2009T13_112_11-APW_ENG_20071114.0632.LDC2009T13_112_52,W_LEMMA_L_1_R_3_[by]_['s `` Into]
114481@46_4-114481@46_26,NGRAM_1_[the]
APW_ENG_20070706.0064.LDC2009T13_375_4-APW_ENG_20070706.0064.LDC2009T13_375_25,NGRAM_2_[of Bravo]
eng-WL-11-174587-12962271_11_3-eng-WL-11-174587-12962271_11_12,W_NER_L_1_R_1_[O]_[O]
AFP_ENG_20080302.0375.LDC2009T13_79_13-AFP_ENG_20080302.0375.LDC2009T13_79_4,INV_W_NER_L_1_R_3_[TITLE]_[O O O]
LTW_ENG_20070707.0069.LDC2009T13_30_74-LTW_ENG_20070707.0069.LDC2009T13_30_55,INV_NGRAM_2_[No. 9]
1387@14_37-1387@14_17,INV_NGRAM_2_[Bush ;]
AFP_ENG_20070208.0750.LDC2009T13_400_31-AFP_ENG_20070208.0750.LDC2009T13_400_11,INV_NGRAM_3_[unveil `` the]
APW_ENG_20071029.0168.LDC2009T13_252_7-APW_ENG_20071029.0168.LDC2009T13_252_11,W_NER_L_2_R_3_[PERSON O]_[O PERSON PERSON]
LTW_ENG_20080902.0038.LDC2009T13_963_12-LTW_ENG_20080902.0038.LDC2009T13_963_0,"INV_NGRAM_3_[, Edwin H.]"
90365@10_3-90365@10_22,NGRAM_1_[respond]
AFP_ENG_20080419.0058.LDC2009T13_265_10-AFP_ENG_20080419.0058.LDC2009T13_265_8,INV_W_NER_L_3_R_1_[O PERSON O]_[O]
AFP_ENG_20071027.0163.LDC2009T13_28_28-AFP_ENG_20071027.0163.LDC2009T13_28_0,"INV_NGRAM_2_[, together]"
APW_ENG_20070706.0927.LDC2009T13_32_3-APW_ENG_20070706.0927.LDC2009T13_32_15,W_LEMMA_L_1_R_2_[player]_[at a]
XIN_ENG_20080207.0006.LDC2009T13_47_25-XIN_ENG_20080207.0006.LDC2009T13_47_0,"INV_NGRAM_1_[,]"
eng-WL-11-174592-12941881_78_0-eng-WL-11-174592-12941881_78_8,W_NER_L_1_R_2_[O]_[O O]
NYT_ENG_20070914.0255.LDC2009T13_490_34-NYT_ENG_20070914.0255.LDC2009T13_490_7,INV_NGRAM_2_[they to]
NYT_ENG_20080420.0063.LDC2009T13_104_28-NYT_ENG_20080420.0063.LDC2009T13_104_22,INV_W_NER_L_2_R_1_[PERSON O]_[O]
APW_ENG_20070519.0759.LDC2009T13_53_0-APW_ENG_20070519.0759.LDC2009T13_53_16,NGRAM_1_[stand]
eng-NG-31-131148-12109305_122_53-eng-NG-31-131148-12109305_122_33,"INV_W_LEMMA_L_1_R_3_[,]_[and Bill Russell]"
NYT_ENG_20070102.0260.LDC2009T13_961_57-NYT_ENG_20070102.0260.LDC2009T13_961_21,"INV_NGRAM_2_[, Shaun]"
APW_ENG_20081020.0299.LDC2009T13_425_11-APW_ENG_20081020.0299.LDC2009T13_425_2,INV_W_NER_L_1_R_1_[O]_[O]
eng-WL-110-174612-12993157_109_32-eng-WL-110-174612-12993157_109_18,"INV_NGRAM_1_[,]"
APW_ENG_20080213.0262.LDC2009T13_19_4-APW_ENG_20080213.0262.LDC2009T13_19_0,INV_W_NER_L_3_R_3_[O O O]_[O O O]
NYT_ENG_20070824.0123.LDC2009T13_250_19-NYT_ENG_20070824.0123.LDC2009T13_250_4,INV_BETW_L_[dep prep_of prep_of]
eng-NG-31-142163-10038467_11_13-eng-NG-31-142163-10038467_11_29,"NGRAM_3_[, Akshay Kumar]"
APW_ENG_20070819.0755.LDC2009T13_218_24-APW_ENG_20070819.0755.LDC2009T13_218_14,INV_W_NER_L_3_R_3_[ORDINAL DURATION O]_[O O O]
AFP_ENG_20071103.0280.LDC2009T13_9_14-AFP_ENG_20071103.0280.LDC2009T13_9_3,INV_LENGTHS_[3_2]
NYT_ENG_20080215.0053.LDC2009T13_848_3-NYT_ENG_20080215.0053.LDC2009T13_848_40,NGRAM_2_[: Lynn]
AFP_ENG_20070923.0124.LDC2009T13_673_10-AFP_ENG_20070923.0124.LDC2009T13_673_16,"W_LEMMA_L_3_R_2_[spectacularly , by]_[find Cech]"
AFP_ENG_20080112.0061.LDC2009T13_657_1-AFP_ENG_20080112.0061.LDC2009T13_657_29,W_LEMMA_L_2_R_3_[. but]_[wrap thing up]
LTW_ENG_20081030.0040.LDC2009T13_450_17-LTW_ENG_20081030.0040.LDC2009T13_450_0,INV_W_NER_L_1_R_3_[O]_[O O ORDINAL]
APW_ENG_20080906.0121.LDC2009T13_124_32-APW_ENG_20080906.0121.LDC2009T13_124_9,INV_W_NER_L_2_R_1_[O O]_[NUMBER]
NYT_ENG_20070515.0128.LDC2009T13_973_44-NYT_ENG_20070515.0128.LDC2009T13_973_41,INV_W_NER_L_2_R_3_[PERSON O]_[O O O]
151579@22_7-151579@22_13,W_NER_L_1_R_2_[O]_[O O]
85993@9_30-85993@9_41,"NGRAM_2_[husband ,]"
XIN_ENG_20070326.0182.LDC2009T13_40_0-XIN_ENG_20070326.0182.LDC2009T13_40_36,NGRAM_2_[at the]
LTW_ENG_20071215.0022.LDC2009T13_271_27-LTW_ENG_20071215.0022.LDC2009T13_271_48,NGRAM_3_[on a Open]
eng-NG-31-141971-9990721_149_7-eng-NG-31-141971-9990721_149_31,"NGRAM_3_[, have no]"
AFP_ENG_20070615.0421.LDC2009T13_15_4-AFP_ENG_20070615.0421.LDC2009T13_15_21,W_LEMMA_L_3_R_1_[deal which take]_[all]
67707@3_3-67707@3_42,NGRAM_1_[New]
AFP_ENG_20071205.0166.LDC2009T13_177_27-AFP_ENG_20071205.0166.LDC2009T13_177_18,INV_BETW_L_[prep_such_as prep_such_as]
LTW_ENG_20081029.0102.LDC2009T13_34_22-LTW_ENG_20081029.0102.LDC2009T13_34_25,W_NER_L_1_R_2_[O]_[O O]
LTW_ENG_20070508.0158.LDC2009T13_757_27-LTW_ENG_20070508.0158.LDC2009T13_757_12,"INV_NGRAM_1_[,]"
