person1_id,person2_id,sentence_id,description,is_true,relation_id,id
APW_ENG_20080317.1411.LDC2009T13_749_2,APW_ENG_20080317.1411.LDC2009T13_749_11,APW_ENG_20080317.1411.LDC2009T13_749,Heather Mills-Paul McCartney,t,APW_ENG_20080317.1411.LDC2009T13_749_2-APW_ENG_20080317.1411.LDC2009T13_749_11,119239
eng-WL-11-174584-12964200_28_22,eng-WL-11-174584-12964200_28_1,eng-WL-11-174584-12964200_28,Molly Malaney-Jason Mesnick,t,eng-WL-11-174584-12964200_28_22-eng-WL-11-174584-12964200_28_1,45078
AFP_ENG_20071226.0142.LDC2009T13_10_2,AFP_ENG_20071226.0142.LDC2009T13_10_10,AFP_ENG_20071226.0142.LDC2009T13_10,Nicolas Sarkozy-Carla Bruni,t,AFP_ENG_20071226.0142.LDC2009T13_10_2-AFP_ENG_20071226.0142.LDC2009T13_10_10,182860
APW_ENG_20071106.0842.LDC2009T13_57_5,APW_ENG_20071106.0842.LDC2009T13_57_2,APW_ENG_20071106.0842.LDC2009T13_57,Imran Khan-Jemima Khan,t,APW_ENG_20071106.0842.LDC2009T13_57_5-APW_ENG_20071106.0842.LDC2009T13_57_2,254411
eng-WL-11-174595-12968575_1513_0,eng-WL-11-174595-12968575_1513_9,eng-WL-11-174595-12968575_1513,Angelina Jolie-Brad Pitt,t,eng-WL-11-174595-12968575_1513_0-eng-WL-11-174595-12968575_1513_9,17549
eng-WL-11-174595-12968234_1920_9,eng-WL-11-174595-12968234_1920_25,eng-WL-11-174595-12968234_1920,Idina Menzel-Taye Diggs,t,eng-WL-11-174595-12968234_1920_9-eng-WL-11-174595-12968234_1920_25,241163
LTW_ENG_20080912.0072.LDC2009T13_12_36,LTW_ENG_20080912.0072.LDC2009T13_12_14,LTW_ENG_20080912.0072.LDC2009T13_12,Bill Clinton-Hillary Rodham Clinton,t,LTW_ENG_20080912.0072.LDC2009T13_12_36-LTW_ENG_20080912.0072.LDC2009T13_12_14,15589
LTW_ENG_20080923.0029.LDC2009T13_492_13,LTW_ENG_20080923.0029.LDC2009T13_492_4,LTW_ENG_20080923.0029.LDC2009T13_492,Michael Dukakis-Kitty Dukakis,t,LTW_ENG_20080923.0029.LDC2009T13_492_13-LTW_ENG_20080923.0029.LDC2009T13_492_4,208150
AFP_ENG_20071004.0717.LDC2009T13_8_3,AFP_ENG_20071004.0717.LDC2009T13_8_26,AFP_ENG_20071004.0717.LDC2009T13_8,Britney Spears-Kevin Federline,t,AFP_ENG_20071004.0717.LDC2009T13_8_3-AFP_ENG_20071004.0717.LDC2009T13_8_26,99287
eng-WL-107-174567-12932036_28_3,eng-WL-107-174567-12932036_28_24,eng-WL-107-174567-12932036_28,Madonna-Guy Ritchie,t,eng-WL-107-174567-12932036_28_3-eng-WL-107-174567-12932036_28_24,221378
APW_ENG_20070713.0100.LDC2009T13_341_20,APW_ENG_20070713.0100.LDC2009T13_341_30,APW_ENG_20070713.0100.LDC2009T13_341,Tom Cruise-Katie Holmes,t,APW_ENG_20070713.0100.LDC2009T13_341_20-APW_ENG_20070713.0100.LDC2009T13_341_30,118746
eng-WL-11-174592-12942245_315_15,eng-WL-11-174592-12942245_315_0,eng-WL-11-174592-12942245_315,Nicole Kidman-Tom Cruise,t,eng-WL-11-174592-12942245_315_15-eng-WL-11-174592-12942245_315_0,161636
APW_ENG_20070210.0421.LDC2009T13_17_2,APW_ENG_20070210.0421.LDC2009T13_17_5,APW_ENG_20070210.0421.LDC2009T13_17,Jerry Stiller-Anne Meara,t,APW_ENG_20070210.0421.LDC2009T13_17_2-APW_ENG_20070210.0421.LDC2009T13_17_5,9773
APW_ENG_20080505.0845.LDC2009T13_16_0,APW_ENG_20080505.0845.LDC2009T13_16_6,APW_ENG_20080505.0845.LDC2009T13_16,Scarlett Johansson-Ryan Reynolds,t,APW_ENG_20080505.0845.LDC2009T13_16_0-APW_ENG_20080505.0845.LDC2009T13_16_6,32256
eng-WL-11-174611-12972075_67_39,eng-WL-11-174611-12972075_67_33,eng-WL-11-174611-12972075_67,Sean Eldridge-Chris Hughes,t,eng-WL-11-174611-12972075_67_39-eng-WL-11-174611-12972075_67_33,138464
NYT_ENG_20070516.0167.LDC2009T13_182_28,NYT_ENG_20070516.0167.LDC2009T13_182_17,NYT_ENG_20070516.0167.LDC2009T13_182,Justin Timberlake-Cameron Diaz,t,NYT_ENG_20070516.0167.LDC2009T13_182_28-NYT_ENG_20070516.0167.LDC2009T13_182_17,128847
AFP_ENG_20080827.0496.LDC2009T13_47_1,AFP_ENG_20080827.0496.LDC2009T13_47_4,AFP_ENG_20080827.0496.LDC2009T13_47,Nicollette Sheridan-Michael Bolton,t,AFP_ENG_20080827.0496.LDC2009T13_47_1-AFP_ENG_20080827.0496.LDC2009T13_47_4,82568
APW_ENG_20070901.0293.LDC2009T13_48_19,APW_ENG_20070901.0293.LDC2009T13_48_13,APW_ENG_20070901.0293.LDC2009T13_48,Endon Mahmood-Abdullah Ahmad Badawi,t,APW_ENG_20070901.0293.LDC2009T13_48_19-APW_ENG_20070901.0293.LDC2009T13_48_13,66536
AFP_ENG_20070307.0321.LDC2009T13_10_6,AFP_ENG_20070307.0321.LDC2009T13_10_2,AFP_ENG_20070307.0321.LDC2009T13_10,Arun Nayar-Elizabeth Hurley,t,AFP_ENG_20070307.0321.LDC2009T13_10_6-AFP_ENG_20070307.0321.LDC2009T13_10_2,26428
APW_ENG_20070907.0035.LDC2009T13_176_10,APW_ENG_20070907.0035.LDC2009T13_176_3,APW_ENG_20070907.0035.LDC2009T13_176,Gavin Rossdale-Gwen Stefani,t,APW_ENG_20070907.0035.LDC2009T13_176_10-APW_ENG_20070907.0035.LDC2009T13_176_3,139455
LTW_ENG_20080828.0094.LDC2009T13_109_5,LTW_ENG_20080828.0094.LDC2009T13_109_2,LTW_ENG_20080828.0094.LDC2009T13_109,Katie Holmes-Tom Cruise,t,LTW_ENG_20080828.0094.LDC2009T13_109_5-LTW_ENG_20080828.0094.LDC2009T13_109_2,112947
134273@1_5,134273@1_19,134273@1,John McCain-Cindy McCain,t,134273@1_5-134273@1_19,57661
eng-WL-11-174595-12968173_224_4,eng-WL-11-174595-12968173_224_7,eng-WL-11-174595-12968173_224,Ben Harper-Laura Dern,t,eng-WL-11-174595-12968173_224_4-eng-WL-11-174595-12968173_224_7,266122
eng-WL-11-174595-12968249_276_12,eng-WL-11-174595-12968249_276_8,eng-WL-11-174595-12968249_276,Guy Ritchie-Madonna,t,eng-WL-11-174595-12968249_276_12-eng-WL-11-174595-12968249_276_8,184303
eng-WL-11-174595-12967610_14_16,eng-WL-11-174595-12967610_14_29,eng-WL-11-174595-12967610_14,Kevin Federline-Britney Spears,t,eng-WL-11-174595-12967610_14_16-eng-WL-11-174595-12967610_14_29,71097
eng-WL-11-174574-12934461_88_2,eng-WL-11-174574-12934461_88_17,eng-WL-11-174574-12934461_88,Rihanna-Chris Brown,t,eng-WL-11-174574-12934461_88_2-eng-WL-11-174574-12934461_88_17,278402
eng-WL-11-174595-12968538_367_11,eng-WL-11-174595-12968538_367_8,eng-WL-11-174595-12968538_367,Joel Madden-Nicole Richie,t,eng-WL-11-174595-12968538_367_11-eng-WL-11-174595-12968538_367_8,189179
NYT_ENG_20070503.0100.LDC2009T13_1279_13,NYT_ENG_20070503.0100.LDC2009T13_1279_81,NYT_ENG_20070503.0100.LDC2009T13_1279,Alvin Sargent-Laura Ziskin,t,NYT_ENG_20070503.0100.LDC2009T13_1279_13-NYT_ENG_20070503.0100.LDC2009T13_1279_81,164936
eng-WL-11-174611-12983448_75_9,eng-WL-11-174611-12983448_75_1,eng-WL-11-174611-12983448_75,John Edwards-Elizabeth Edwards,t,eng-WL-11-174611-12983448_75_9-eng-WL-11-174611-12983448_75_1,72132
eng-WL-11-174595-12967914_177_23,eng-WL-11-174595-12967914_177_20,eng-WL-11-174595-12967914_177,Kid Rock-Pamela Anderson,t,eng-WL-11-174595-12967914_177_23-eng-WL-11-174595-12967914_177_20,131345
33100@17_0,33100@17_9,33100@17,Jeb Bush-Columba Bush,t,33100@17_0-33100@17_9,154154
LTW_ENG_20070621.0021.LDC2009T13_251_5,LTW_ENG_20070621.0021.LDC2009T13_251_8,LTW_ENG_20070621.0021.LDC2009T13_251,Fidel Castro-Dalia Soto del Valle,t,LTW_ENG_20070621.0021.LDC2009T13_251_5-LTW_ENG_20070621.0021.LDC2009T13_251_8,245710
eng-WL-11-174574-12937964_387_30,eng-WL-11-174574-12937964_387_27,eng-WL-11-174574-12937964_387,Rihanna-Chris Brown,t,eng-WL-11-174574-12937964_387_30-eng-WL-11-174574-12937964_387_27,69096
eng-NG-31-139675-9839118_525_5,eng-NG-31-139675-9839118_525_7,eng-NG-31-139675-9839118_525,Abraham-Sarah,t,eng-NG-31-139675-9839118_525_5-eng-NG-31-139675-9839118_525_7,107914
eng-WL-11-174595-12967528_257_4,eng-WL-11-174595-12967528_257_7,eng-WL-11-174595-12967528_257,Tom Cruise-Katie Holmes,t,eng-WL-11-174595-12967528_257_4-eng-WL-11-174595-12967528_257_7,224779
eng-WL-11-174595-12968551_1948_7,eng-WL-11-174595-12968551_1948_10,eng-WL-11-174595-12968551_1948,Demi Moore-Ashton Kutcher,t,eng-WL-11-174595-12968551_1948_7-eng-WL-11-174595-12968551_1948_10,188153
NYT_ENG_20080213.0142.LDC2009T13_157_6,NYT_ENG_20080213.0142.LDC2009T13_157_17,NYT_ENG_20080213.0142.LDC2009T13_157,Hayden Christensen-Rachel Bilson,t,NYT_ENG_20080213.0142.LDC2009T13_157_6-NYT_ENG_20080213.0142.LDC2009T13_157_17,284098
AFP_ENG_20081217.0769.LDC2009T13_647_31,AFP_ENG_20081217.0769.LDC2009T13_647_28,AFP_ENG_20081217.0769.LDC2009T13_647,Chris Evert-Greg Norman,t,AFP_ENG_20081217.0769.LDC2009T13_647_31-AFP_ENG_20081217.0769.LDC2009T13_647_28,28264
146331@40_8,146331@40_3,146331@40,Bill Clinton-Hillary Rodham Clinton,t,146331@40_8-146331@40_3,229541
LTW_ENG_20081111.0055.LDC2009T13_1078_15,LTW_ENG_20081111.0055.LDC2009T13_1078_18,LTW_ENG_20081111.0055.LDC2009T13_1078,Robin Green-Mitchell Burgess,t,LTW_ENG_20081111.0055.LDC2009T13_1078_15-LTW_ENG_20081111.0055.LDC2009T13_1078_18,53633
APW_ENG_20070525.0898.LDC2009T13_38_20,APW_ENG_20070525.0898.LDC2009T13_38_0,APW_ENG_20070525.0898.LDC2009T13_38,Jennifer Liddle-Jenny Bailey,t,APW_ENG_20070525.0898.LDC2009T13_38_20-APW_ENG_20070525.0898.LDC2009T13_38_0,121348
LTW_ENG_20080103.0044.LDC2009T13_352_9,LTW_ENG_20080103.0044.LDC2009T13_352_25,LTW_ENG_20080103.0044.LDC2009T13_352,Brad Pitt-Angelina Jolie,t,LTW_ENG_20080103.0044.LDC2009T13_352_9-LTW_ENG_20080103.0044.LDC2009T13_352_25,106371
APW_ENG_20080322.0509.LDC2009T13_288_4,APW_ENG_20080322.0509.LDC2009T13_288_15,APW_ENG_20080322.0509.LDC2009T13_288,Hillary Rodham Clinton-Bill Clinton,t,APW_ENG_20080322.0509.LDC2009T13_288_4-APW_ENG_20080322.0509.LDC2009T13_288_15,143452
NYT_ENG_20080218.0233.LDC2009T13_481_7,NYT_ENG_20080218.0233.LDC2009T13_481_1,NYT_ENG_20080218.0233.LDC2009T13_481,Jamie Davies-Jack Davies,t,NYT_ENG_20080218.0233.LDC2009T13_481_7-NYT_ENG_20080218.0233.LDC2009T13_481_1,111582
49302@28_49,49302@28_24,49302@28,Joanne Woodward-Paul Newman,t,49302@28_49-49302@28_24,270240
eng-WL-11-174595-12968160_2118_10,eng-WL-11-174595-12968160_2118_0,eng-WL-11-174595-12968160_2118,Katie Holmes-Tom Cruise,t,eng-WL-11-174595-12968160_2118_10-eng-WL-11-174595-12968160_2118_0,182225
eng-NG-31-142113-10004396_658_12,eng-NG-31-142113-10004396_658_18,eng-NG-31-142113-10004396_658,Sonia Gandhi-Rajiv Gandhi,t,eng-NG-31-142113-10004396_658_12-eng-NG-31-142113-10004396_658_18,261529
AFP_ENG_20080509.0020.LDC2009T13_310_17,AFP_ENG_20080509.0020.LDC2009T13_310_32,AFP_ENG_20080509.0020.LDC2009T13_310,Sharon Tate-Roman Polanski,t,AFP_ENG_20080509.0020.LDC2009T13_310_17-AFP_ENG_20080509.0020.LDC2009T13_310_32,122066
eng-NG-31-142695-10081519_134_5,eng-NG-31-142695-10081519_134_1,eng-NG-31-142695-10081519_134,Anne H. Ehrlich-Paul R. Ehrlich,t,eng-NG-31-142695-10081519_134_5-eng-NG-31-142695-10081519_134_1,184859
APW_ENG_20070928.0144.LDC2009T13_135_11,APW_ENG_20070928.0144.LDC2009T13_135_16,APW_ENG_20070928.0144.LDC2009T13_135,Nicole Kidman-Keith Urban,t,APW_ENG_20070928.0144.LDC2009T13_135_11-APW_ENG_20070928.0144.LDC2009T13_135_16,223510
LTW_ENG_20070117.0115.LDC2009T13_1304_0,LTW_ENG_20070117.0115.LDC2009T13_1304_7,LTW_ENG_20070117.0115.LDC2009T13_1304,Ray Hutchison-Kay Bailey Hutchison,t,LTW_ENG_20070117.0115.LDC2009T13_1304_0-LTW_ENG_20070117.0115.LDC2009T13_1304_7,261713
APW_ENG_20081105.1645.LDC2009T13_52_7,APW_ENG_20081105.1645.LDC2009T13_52_26,APW_ENG_20081105.1645.LDC2009T13_52,Barack Obama-Michelle Obama,t,APW_ENG_20081105.1645.LDC2009T13_52_7-APW_ENG_20081105.1645.LDC2009T13_52_26,199259
