relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
132478@16_17-132478@16_7,132478@16,Benazir Bhutto-Asif Ali Zardari,t,0.932,"{The,candidate,for,the,major,party,"","",Asif,Ali,Zardari,"","",the,widower,of,former,Prime,Minister,Benazir,Bhutto,"","",is,favored,to,win,and,to,become,the,next,president,following,the,resignation,under,pressure,of,President,Pervez,Musharraf,.}",17,2,7,3,3,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[widower],INV_LENGTHS_[2_3],""INV_NGRAM_2_[widower of]"",INV_NGRAM_1_[Minister]}","{-1.73068,-1.55347,1.43559,1.03189,0.971288,-0.589202}"
NYT_ENG_20080905.0101.LDC2009T13_98_2-NYT_ENG_20080905.0101.LDC2009T13_98_9,NYT_ENG_20080905.0101.LDC2009T13_98,Eleanor Clark-Robert Penn Warren,t,0.922,"{The,writer,Eleanor,Clark,"","",who,was,married,to,Robert,Penn,Warren,and,wrote,a,book,about,a,French,seacoast,village,that,has,harvested,Belon,oysters,for,centuries,"","",put,it,well,:}",2,2,9,3,3,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[marry],KW_IND_[married],LENGTHS_[2_3],W_NER_L_1_R_1_[TITLE]_[O],""NGRAM_1_[,]""}","{-2.82352,1.27492,1.03371,0.839476,-0.583471,-0.498875}"
APW_ENG_20070309.1597.LDC2009T13_12_6-APW_ENG_20070309.1597.LDC2009T13_12_0,APW_ENG_20070309.1597.LDC2009T13_12,Sunrise Coigney-Mark Ruffalo,t,0.946,"{Mark,Ruffalo,and,his,wife,"","",Sunrise,Coigney,"","",will,add,another,little,one,to,their,brood,this,fall,.}",6,2,0,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[3_2],""INV_NER_SEQ_[O O O O]""}","{-1.73068,-1.55347,1.45089,1.1142,1.02046,0.525749}"
96392@47_18-96392@47_9,96392@47,Yasser Arafat-Suha Arafat,t,0.968,"{Skeptics,about,Clinton,still,recall,her,1999,embrace,of,Suha,Arafat,"","",wife,of,the,late,Palestinian,leader,Yasser,Arafat,"","",during,a,visit,to,the,West,Bank,.}",18,2,9,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[2_2],""INV_NGRAM_2_[wife of]""}","{-1.73068,-1.55347,1.45089,1.1142,0.903033,0.781621}"
NYT_ENG_20070825.0087.LDC2009T13_1014_6-NYT_ENG_20070825.0087.LDC2009T13_1014_0,NYT_ENG_20070825.0087.LDC2009T13_1014,Mitt Romney-Ann Romney,t,0.986,"{Ann,Romney,"","",the,wife,of,Mitt,Romney,"","",was,asked,what,set,her,husband,apart,from,the,other,candidates,.}",6,2,0,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[2_2],""INV_NGRAM_2_[wife of]""}","{-1.73068,-1.55347,1.45089,1.1142,0.903033,0.781621}"
AFP_ENG_20080718.0069.LDC2009T13_6_0-AFP_ENG_20080718.0069.LDC2009T13_6_15,AFP_ENG_20080718.0069.LDC2009T13_6,Britney Spears-Kevin Federline,t,0.954,"{Britney,Spears,has,dropped,her,bid,to,regain,custody,of,her,two,children,with,ex-husband,Kevin,Federline,"","",heading,off,a,potentially,explosive,and,traumatic,court-room,trial,"","",lawyers,said,Friday,.}",0,2,15,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[ex-husband],NGRAM_1_[she],LENGTHS_[2_3],NGRAM_1_[custody],W_NER_L_1_R_1_[O]_[O]}","{-2.82352,1.46291,0.921399,0.839476,0.714168,-0.343069}"
AFP_ENG_20071211.0177.LDC2009T13_209_24-AFP_ENG_20071211.0177.LDC2009T13_209_31,AFP_ENG_20071211.0177.LDC2009T13_209,Michelle Obama-Barack Obama,t,0.938,"{The,airport,in,the,state,capital,"","",Des,Moines,"","",was,closed,due,to,the,weather,"","",which,also,put,paid,to,plans,by,Michelle,Obama,"","",wife,of,Democratic,challenger,Barack,Obama,to,campaign,in,the,state,on,Tuesday,.}",24,2,31,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],KW_IND_[married],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_2_[wife of]"",LENGTHS_[2_2]}","{-2.82352,1.36327,1.03371,0.764251,0.728822,0.718423}"
LTW_ENG_20070714.0119.LDC2009T13_422_23-LTW_ENG_20070714.0119.LDC2009T13_422_30,LTW_ENG_20070714.0119.LDC2009T13_422,Marguerite Simpson-O.J. Simpson,,0.908,"{Fain,also,represented,actor,Lee,Majors,in,his,divorce,from,Farrah,Fawcett,"","",Rod,Steiger,in,his,divorce,from,Sherry,Steiger,"","",and,Marguerite,Simpson,"","",the,first,wife,of,O.J.,Simpson,.}",23,2,30,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],KW_IND_[married],LENGTHS_[3_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_2_[wife of]""}","{-2.82352,1.36327,1.03371,0.977436,0.764251,0.728822}"
AFP_ENG_20080516.0780.LDC2009T13_8_3-AFP_ENG_20080516.0780.LDC2009T13_8_16,AFP_ENG_20080516.0780.LDC2009T13_8,Shania Twain-Robert Lange,t,0.902,"{Country,pop,diva,Shania,Twain,is,separating,from,her,husband,of,14,years,"","",music,producer,Robert,Lange,"","",it,was,reported,on,Thursday,.}",3,2,16,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[husband],KW_IND_[married],NGRAM_1_[she],LENGTHS_[2_2],""NGRAM_1_[,]""}","{-2.82352,1.26825,1.03371,0.921399,0.718423,-0.498875}"
APW_ENG_20070120.0120.LDC2009T13_75_1-APW_ENG_20070120.0120.LDC2009T13_75_9,APW_ENG_20070120.0120.LDC2009T13_75,Hillary Rodham Clinton-Bill Clinton,t,0.974,"{Sen.,Hillary,Rodham,Clinton,"","",wife,of,former,President,Bill,Clinton,"","",has,yet,to,enter,the,race,officially,but,is,widely,considered,the,front-runner,.}",1,3,9,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],LENGTHS_[4_2],KW_IND_[married],""NGRAM_2_[former President]"",""BETW_D_[appos DICT_married prep_of]""}","{-2.82352,1.36327,1.08087,1.03371,0.93647,0.764251}"
