relation_id,sentence_id,description,is_true,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
NYT_ENG_20080420.0164.LDC2009T13_590_41-NYT_ENG_20080420.0164.LDC2009T13_590_30,NYT_ENG_20080420.0164.LDC2009T13_590,Mario Andretti-Michael Andretti,f,"{A,year,ago,"","",in,search,of,a,stronger,team,"","",Patrick,jumped,from,the,IndyCar,Series,team,co-owned,by,the,talk-show,host,David,Letterman,to,the,team,co-owned,by,Michael,Andretti,"","",the,former,racer,who,is,the,son,of,Mario,Andretti,.}",41,2,30,2,2,"{INV_KW_IND_[non_married],INV_NGRAM_1_[son],""INV_NGRAM_2_[son of]"",""INV_NGRAM_1_[,]"",INV_LEMMA_L_1_R_1_[by]_[.],""INV_NER_L_3_R_1_[O O O]_[O]""}","{-2.56873,-1.94523,-1.7155,-1.42472,-1.28552,1.17156}"
AFP_ENG_20070904.0570.LDC2009T13_105_15-AFP_ENG_20070904.0570.LDC2009T13_105_23,AFP_ENG_20070904.0570.LDC2009T13_105,Jiang Mianheng-Jiang Zemin,f,"{The,source,told,the,newspaper,that,Shanghai,Alliance,Investment,"","",which,is,reportedly,run,by,Jiang,Mianheng,"","",a,son,of,former,President,Jiang,Zemin,"","",wanted,to,end,the,partnership,because,the,venture,'s,business,model,has,``,always,been,unclear,.,''}",15,2,23,2,2,"{""BETW_D_[appos DICT_non_married prep_of]"",KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],""NGRAM_2_[son of]"",NER_L_1_R_1_[O]_[O],NGRAM_1_[son]}","{-3.08534,-2.20027,-2.15061,-2.12192,2.03006,-1.99866}"
64529@80_60-64529@80_41,64529@80,Robert Ford-Jesse James,f,"{--,``,The,Assassination,of,Jesse,James,by,the,Coward,Robert,Ford,'',Director,:,Andrew,Dominik,Stars,:,Brad,Pitt,"","",Casey,Affleck,"","",Sam,Rockwell,"","",Sam,Shepard,"","",Mary,-,Louise,Parker,Why,see,it,:,Frank,and,Jesse,James,are,at,the,height,of,their,legendary,status,and,coming,to,the,end,of,their,run,when,Robert,Ford,begs,to,join,the,gang,.}",60,2,41,2,2,"{""INV_NER_L_3_R_2_[O O O]_[O O]"",INV_NGRAM_1_[they],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{-1.22689,-1.21173,1.17156,-1.149,0.995178,-0.963997}"
LTW_ENG_20080826.0125.LDC2009T13_19_46-LTW_ENG_20080826.0125.LDC2009T13_19_3,LTW_ENG_20080826.0125.LDC2009T13_19,Jackie Robinson-Barack Obama,f,"{What,Democratic,candidate,Barack,Obama,needs,"","",says,Rep.,Jesse,Jackson,Jr.,"","",D-Ill.,"","",is,for,former,President,Bill,Clinton,and,Sen.,Hillary,Rodham,Clinton,"","",D-N.Y.,"","",to,provide,a,``,Pee,Wee,Reese,moment,"","",'',referring,to,the,white,ballplayer,who,embraced,Jackie,Robinson,when,white,baseball,fans,rained,abuse,on,the,pioneering,black,Dodger,.}",46,2,3,2,2,"{""INV_NGRAM_2_[former President]"",""INV_NGRAM_1_[,]"",""INV_NGRAM_2_[, say]"",""INV_NGRAM_3_[former President Bill]"",INV_NGRAM_1_[Clinton],INV_STARTS_WITH_CAPITAL_[True_True]}","{2.1437,-1.42472,-1.23404,-1.22488,-1.22305,-1.149}"
AFP_ENG_20080208.0609.LDC2009T13_126_23-AFP_ENG_20080208.0609.LDC2009T13_126_17,AFP_ENG_20080208.0609.LDC2009T13_126,John McCain-Barack Obama,f,"{--,California,Governor,Arnold,Schwarzenegger,"","",speaking,about,his,wife,Maria,Shriver,"","",a,Kennedy,who,supports,Barack,Obama,while,he,supports,Republican,John,McCain,.}",23,2,17,2,2,"{INV_NGRAM_1_[while],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[he],INV_NER_L_1_R_1_[O]_[O]}","{-1.35471,1.17156,-1.149,0.57978,0.455299,-0.336726}"
APW_ENG_20080206.1220.LDC2009T13_424_7-APW_ENG_20080206.1220.LDC2009T13_424_25,APW_ENG_20080206.1220.LDC2009T13_424,Tracy-Bobby Rahal,f,"{The,driver,lineup,is,expected,to,include,Tracy,"","",a,Canadian,"","",19,-,year-old,American,Graham,Rahal,"","",the,son,of,longtime,racing,star,Bobby,Rahal,"","",and,a,United,Nations,of,returning,stars,such,as,Will,Power,of,Australia,"","",Justin,Wilson,of,England,"","",Robert,Doornbos,of,the,Netherlands,"","",Bruno,Junqueira,of,Brazil,"","",Oriol,Servia,of,Spain,and,Simon,Pagenaud,of,France,.}",7,1,25,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],""NGRAM_2_[son of]"",NER_L_1_R_1_[O]_[O],NGRAM_1_[son],""NGRAM_1_[,]""}","{-2.20027,-2.15061,-2.12192,2.03006,-1.99866,-1.35882}"
eng-WL-11-174596-12952989_796_9-eng-WL-11-174596-12952989_796_0,eng-WL-11-174596-12952989_796,Malcolm X-Malaak Shabazz,f,"{Malaak,Shabazz,"","",the,daughter,of,black,rights,activist,Malcolm,X,"","",had,no,such,qualms,.}",9,2,0,2,2,"{INV_KW_IND_[non_married],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[black],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_NGRAM_1_[daughter]}","{-2.56873,-1.42472,1.28032,-1.22689,1.17156,-1.15946}"
73573@28_11-73573@28_14,73573@28,Britney Spears-Jessica Simpson,f,"{She,started,her,career,at,YM,magazine,dressing,the,likes,of,Britney,Spears,and,Jessica,Simpson,before,moving,with,her,husband,to,Hollywood,.}",11,2,14,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""KW_D_[prep_of likes dobj dress prepc_before move prep_with]_[conj_and Spears prep_of likes dobj dress prepc_before move prep_with]"",""LEMMA_L_3_R_1_[the likes of]_[before]""}","{-2.15061,2.03006,1.56175,0.724491,-0.578402,-0.578402}"
eng-NG-31-105387-11952328_439_15-eng-NG-31-105387-11952328_439_11,eng-NG-31-105387-11952328_439,Caleb-Emma,f,"{List,of,people,who,DEFINITELY,should,be,coming,:,Tony,"","",Emma,"","",Me,"","",Caleb,"","",David,"","",Drew,"","",Hope,"","",Guy,"","",Nathan,"","",Stefan,"","",and,all,your,ultimate,friends,.}",15,1,11,1,1,"{""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]"",""INV_NER_SEQ_[O O O]"",""INV_NER_L_3_R_1_[O PERSON O]_[O]"",""INV_NER_L_3_R_3_[O PERSON O]_[O PERSON O]""}","{-1.42472,-1.149,1.0885,0.827747,-0.808152,-0.772111}"
132186@31_12-132186@31_45,132186@31,Michelle Obama-Craig Robinson,f,"{The,Robinson,children,learned,an,ethic,of,hard,work,"","",especially,from,Michelle,Obama,'s,father,"","",who,was,diagnosed,at,age,30,with,multiple,sclerosis,and,continued,working,as,a,pump,operator,for,the,Chicago,water,department,"","",said,Michelle,Obama,'s,brother,"","",Craig,Robinson,"","",46,.}",12,2,45,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[brother],""NGRAM_2_[, say]"",NGRAM_1_[father]}","{-2.20027,-2.15061,2.03006,-1.83191,-1.79013,-1.52368}"
